tarih,sicaklik_max,sicaklik_min,sicaklik_ort,yagis,ruzgar_max,yil,ay,gun,hafta_gunu,mevsim
2020-08-05,34.3,21.3,28.1,0.0,9.8,2020,8,5,Wednesday,Yaz
2020-08-06,34.4,20.9,27.7,0.0,11.4,2020,8,6,Thursday,Yaz
2020-08-07,34.1,20.5,27.5,0.0,11.3,2020,8,7,Friday,Yaz
2020-08-08,34.3,21.2,28.2,0.0,13.0,2020,8,8,Saturday,Yaz
2020-08-09,35.8,25.7,30.1,0.0,11.5,2020,8,9,Sunday,Yaz
2020-08-10,33.8,23.1,28.3,0.0,15.5,2020,8,10,Monday,Yaz
2020-08-11,32.6,22.1,26.8,0.0,19.9,2020,8,11,Tuesday,Yaz
2020-08-12,30.9,19.7,25.3,0.0,11.2,2020,8,12,Wednesday,Yaz
2020-08-13,31.8,20.2,25.6,0.0,16.7,2020,8,13,Thursday,Yaz
2020-08-14,31.1,18.6,24.3,0.0,19.6,2020,8,14,Friday,Yaz
2020-08-15,29.7,17.5,23.3,0.0,13.7,2020,8,15,Saturday,Yaz
2020-08-16,30.5,16.5,23.6,0.0,9.7,2020,8,16,Sunday,Yaz
2020-08-17,29.4,16.7,23.4,0.0,10.4,2020,8,17,Monday,Yaz
2020-08-18,31.0,17.4,24.5,0.0,10.1,2020,8,18,Tuesday,Yaz
2020-08-19,32.4,19.6,26.0,0.0,9.7,2020,8,19,Wednesday,Yaz
2020-08-20,33.4,20.2,27.0,0.0,11.9,2020,8,20,Thursday,Yaz
2020-08-21,33.0,21.9,27.3,0.0,18.4,2020,8,21,Friday,Yaz
2020-08-22,28.1,17.9,22.3,0.0,25.0,2020,8,22,Saturday,Yaz
2020-08-23,27.9,16.3,21.8,0.0,19.1,2020,8,23,Sunday,Yaz
2020-08-24,27.4,15.2,21.9,0.0,9.4,2020,8,24,Monday,Yaz
2020-08-25,30.8,21.5,25.6,0.0,12.6,2020,8,25,Tuesday,Yaz
2020-08-26,32.5,21.6,27.3,0.0,10.9,2020,8,26,Wednesday,Yaz
2020-08-27,32.8,20.2,26.7,0.0,9.7,2020,8,27,Thursday,Yaz
2020-08-28,33.2,19.7,26.6,0.0,12.4,2020,8,28,Friday,Yaz
2020-08-29,32.4,19.9,26.5,0.0,10.5,2020,8,29,Saturday,Yaz
2020-08-30,34.8,24.7,29.3,0.0,10.6,2020,8,30,Sunday,Yaz
2020-08-31,35.8,24.2,30.3,0.0,15.6,2020,8,31,Monday,Yaz
2020-09-01,36.5,25.7,30.9,0.0,13.0,2020,9,1,Tuesday,Sonbahar
2020-09-02,34.1,24.5,29.1,0.1,14.0,2020,9,2,Wednesday,Sonbahar
2020-09-03,34.9,23.1,29.4,0.0,9.3,2020,9,3,Thursday,Sonbahar
2020-09-04,36.6,23.4,30.9,0.0,7.2,2020,9,4,Friday,Sonbahar
2020-09-05,37.2,26.9,31.3,0.0,20.8,2020,9,5,Saturday,Sonbahar
2020-09-06,35.9,24.3,29.2,0.0,20.5,2020,9,6,Sunday,Sonbahar
2020-09-07,32.8,20.9,26.9,0.0,13.0,2020,9,7,Monday,Sonbahar
2020-09-08,32.0,20.0,26.1,0.0,10.6,2020,9,8,Tuesday,Sonbahar
2020-09-09,30.0,18.6,24.2,0.0,10.4,2020,9,9,Wednesday,Sonbahar
2020-09-10,30.7,18.0,24.4,0.0,11.6,2020,9,10,Thursday,Sonbahar
2020-09-11,34.0,23.7,28.3,0.6,12.6,2020,9,11,Friday,Sonbahar
2020-09-12,33.3,22.5,27.0,0.0,9.4,2020,9,12,Saturday,Sonbahar
2020-09-13,35.3,23.4,28.3,0.0,13.4,2020,9,13,Sunday,Sonbahar
2020-09-14,33.7,21.1,27.7,0.0,9.1,2020,9,14,Monday,Sonbahar
2020-09-15,32.6,21.3,26.5,0.0,9.3,2020,9,15,Tuesday,Sonbahar
2020-09-16,32.6,21.7,26.8,0.0,9.8,2020,9,16,Wednesday,Sonbahar
2020-09-17,34.0,22.8,28.1,0.0,11.5,2020,9,17,Thursday,Sonbahar
2020-09-18,32.6,20.4,26.4,0.0,12.8,2020,9,18,Friday,Sonbahar
2020-09-19,31.1,19.6,25.7,0.0,12.3,2020,9,19,Saturday,Sonbahar
2020-09-20,30.2,19.2,24.4,0.0,13.3,2020,9,20,Sunday,Sonbahar
2020-09-21,31.6,21.2,26.0,0.0,13.5,2020,9,21,Monday,Sonbahar
2020-09-22,28.7,18.5,23.9,0.0,10.4,2020,9,22,Tuesday,Sonbahar
2020-09-23,29.7,17.9,24.0,0.0,10.0,2020,9,23,Wednesday,Sonbahar
2020-09-24,29.4,18.5,24.2,0.0,12.6,2020,9,24,Thursday,Sonbahar
2020-09-25,30.0,21.6,25.1,0.0,9.9,2020,9,25,Friday,Sonbahar
2020-09-26,25.5,17.0,21.5,0.2,7.6,2020,9,26,Saturday,Sonbahar
2020-09-27,30.0,17.9,24.0,0.0,9.5,2020,9,27,Sunday,Sonbahar
2020-09-28,30.8,20.7,25.8,0.0,9.4,2020,9,28,Monday,Sonbahar
2020-09-29,29.8,19.4,24.4,0.0,11.5,2020,9,29,Tuesday,Sonbahar
2020-09-30,30.1,18.9,24.0,0.0,11.2,2020,9,30,Wednesday,Sonbahar
2020-10-01,26.8,17.8,22.1,0.5,10.0,2020,10,1,Thursday,Sonbahar
2020-10-02,25.5,16.5,20.5,0.0,13.0,2020,10,2,Friday,Sonbahar
2020-10-03,25.5,15.0,19.9,0.0,9.0,2020,10,3,Saturday,Sonbahar
2020-10-04,24.9,14.4,19.4,0.0,10.9,2020,10,4,Sunday,Sonbahar
2020-10-05,26.1,14.6,19.6,0.0,14.0,2020,10,5,Monday,Sonbahar
2020-10-06,24.9,12.6,18.7,0.0,11.6,2020,10,6,Tuesday,Sonbahar
2020-10-07,23.5,14.7,19.5,0.0,9.4,2020,10,7,Wednesday,Sonbahar
2020-10-08,24.6,15.3,19.9,0.0,7.1,2020,10,8,Thursday,Sonbahar
2020-10-09,25.1,13.8,19.8,0.0,11.4,2020,10,9,Friday,Sonbahar
2020-10-10,27.1,16.7,20.6,0.0,7.6,2020,10,10,Saturday,Sonbahar
2020-10-11,26.4,16.3,20.7,0.0,10.2,2020,10,11,Sunday,Sonbahar
2020-10-12,26.4,17.0,21.3,0.0,11.6,2020,10,12,Monday,Sonbahar
2020-10-13,26.9,18.2,21.6,0.0,9.5,2020,10,13,Tuesday,Sonbahar
2020-10-14,26.7,18.5,21.9,0.0,11.1,2020,10,14,Wednesday,Sonbahar
2020-10-15,26.5,17.0,21.9,0.0,7.9,2020,10,15,Thursday,Sonbahar
2020-10-16,26.1,18.5,21.7,0.0,8.6,2020,10,16,Friday,Sonbahar
2020-10-17,25.5,17.2,21.0,0.0,10.8,2020,10,17,Saturday,Sonbahar
2020-10-18,25.0,16.4,20.6,0.0,11.9,2020,10,18,Sunday,Sonbahar
2020-10-19,24.8,17.4,20.6,0.0,11.4,2020,10,19,Monday,Sonbahar
2020-10-20,23.6,14.4,18.8,0.0,10.8,2020,10,20,Tuesday,Sonbahar
2020-10-21,21.7,12.8,17.1,0.0,9.5,2020,10,21,Wednesday,Sonbahar
2020-10-22,23.7,13.8,19.1,0.0,8.7,2020,10,22,Thursday,Sonbahar
2020-10-23,25.3,16.0,20.1,0.0,7.3,2020,10,23,Friday,Sonbahar
2020-10-24,24.2,14.4,19.5,0.0,7.3,2020,10,24,Saturday,Sonbahar
2020-10-25,23.0,14.6,19.0,0.0,7.2,2020,10,25,Sunday,Sonbahar
2020-10-26,23.3,16.2,19.2,0.0,8.3,2020,10,26,Monday,Sonbahar
2020-10-27,24.3,14.8,19.0,0.0,7.4,2020,10,27,Tuesday,Sonbahar
2020-10-28,25.4,15.5,19.6,0.0,13.7,2020,10,28,Wednesday,Sonbahar
2020-10-29,25.4,15.1,18.9,0.0,9.7,2020,10,29,Thursday,Sonbahar
2020-10-30,24.5,13.7,18.9,0.0,9.3,2020,10,30,Friday,Sonbahar
2020-10-31,23.3,12.7,18.4,0.3,13.3,2020,10,31,Saturday,Sonbahar
2020-11-01,21.6,12.3,16.4,0.0,16.9,2020,11,1,Sunday,Sonbahar
2020-11-02,16.8,11.3,14.0,0.4,8.4,2020,11,2,Monday,Sonbahar
2020-11-03,17.5,10.8,13.4,1.2,9.0,2020,11,3,Tuesday,Sonbahar
