yil,ulke,sanatci,sarki,yari_final_no,final_cikis_sirasi,final_sira,final_puan,tele_puan_final,juri_puan_final,yarifinal_cikis_sirasi,yarifinal_sira,yarifinal_puan,finale_kaldı,ev_sahibi,ev_sahibi_ulke,ev_sahibi_uzaklik_km,ilk_10
2001,İzlanda,TwoTricky,Angel,,2.0,22.0,3.0,,,,,,True,False,Danimarka,2100.4110785219154,False
2001,Norveç,Haldor Lægreid,On My Own,,4.0,22.0,3.0,,,,,,True,False,Danimarka,482.5145373969692,False
2002,Letonya,Marie N,I Wanna,,23.0,1.0,176.0,,,,,,True,False,Estonya,279.40062021023346,True
2002,Malta,Ira Losco,7th Wonder,,20.0,2.0,164.0,,,,,,True,False,Estonya,2720.2782031884344,True
2002,Birleşik Krallık,Jessica Garlick,Come Back,,2.0,3.0,111.0,,,,,,True,False,Estonya,1783.5751267437356,True
2002,Estonya,Sahléne,Runaway,,8.0,3.0,111.0,,,,,,True,True,Estonya,0.0,True
2002,Fransa,Sandrine François,Il Faut Du Temps,,17.0,5.0,104.0,,,,,,True,False,Estonya,1858.3429259391144,True
2002,Kıbrıs,One,Gimme,,1.0,6.0,85.0,,,,,,True,False,Estonya,2770.407908086719,True
2002,İspanya,Rosa,Europe's Living A Celebration,,5.0,7.0,81.0,,,,,,True,False,Estonya,2893.0412267369197,True
2002,İsveç,Afro-dite,Never Let It Go,,12.0,8.0,72.0,,,,,,True,False,Estonya,378.312737300521,True
2002,Romanya,Monica Anghel & Marcel Pavel,Tell Me Why,,21.0,9.0,71.0,,,,,,True,False,Estonya,1671.5132074172675,True
2002,Rusya,Prime minister,Northern Girl,,7.0,10.0,55.0,,,,,,True,False,Estonya,867.7764592691553,True
2002,Hırvatistan,Vesna Pisarovic,Everything I Want,,6.0,11.0,44.0,,,,,,True,False,Estonya,1623.8245652590779,False
2002,İsrail,Sarit Hadad,Light A Candle,,10.0,12.0,37.0,,,,,,True,False,Estonya,3172.9979958587587,False
2002,Bosna-Hersek,Maja,Na Jastuku Za Dvoje,,15.0,13.0,33.0,,,,,,True,False,Estonya,1784.828806758201,False
2002,Belçika,Sergio & the Ladies,Sister,,16.0,13.0,33.0,,,,,,True,False,Estonya,1599.5026288418783,False
2002,Slovenya,Sestre,Samo Ljubezen,,22.0,13.0,33.0,,,,,,True,False,Estonya,1635.3353855427997,False
2002,Türkiye,Buket Bengisu & Saphire,Leylaklar Soldu Kalbinde,,19.0,16.0,29.0,,,,,,True,False,Estonya,2242.61162106148,False
2002,Yunanistan,Michalis Rakintzis,S.A.G.A.P.O.,,4.0,17.0,27.0,,,,,,True,False,Estonya,2387.348758827558,False
2002,Avusturya,Manuel Ortega,Say A Word,,3.0,18.0,26.0,,,,,,True,False,Estonya,1361.9979291534205,False
2002,Kuzey Makedonya,Karolina,Od Nas Zavisi,,9.0,19.0,25.0,,,,,,True,False,Estonya,1953.781510031528,False
2002,Finlandiya,Laura,Addicted To You,,13.0,20.0,24.0,,,,,,True,False,Estonya,81.8647216435604,False
2002,Almanya,Corinna May,I Can't Live Without Music,,18.0,21.0,17.0,,,,,,True,False,Estonya,1041.6074389257474,False
2002,İsviçre,Francine Jordi,Dans Le Jardin De Mon Âme,,11.0,22.0,15.0,,,,,,True,False,Estonya,1793.6124348076996,False
2002,Litvanya,Aivaras,Happy You,,24.0,23.0,12.0,,,,,,True,False,Estonya,529.1423513167178,False
2002,Danimarka,Malene,Tell Me Who You Are,,14.0,24.0,7.0,,,,,,True,False,Estonya,836.4151854032597,False
2003,Türkiye,Sertab Erener,Everyway That I Can,,4.0,1.0,167.0,,,,,,True,False,Letonya,1995.7519100328234,True
2003,Belçika,Urban Trad,Sanomi,,22.0,2.0,165.0,,,,,,True,False,Letonya,1454.19721107928,True
2003,Rusya,t.A.T.u.,"Ne Ver, Ne Boisia",,11.0,3.0,164.0,,,,,,True,False,Letonya,841.6093572101794,True
2003,Norveç,Jostein Hasselgård,I'm Not Afraid To Move On,,18.0,4.0,123.0,,,,,,True,False,Letonya,842.6378430610632,True
2003,İsveç,Fame,Give Me Your Love,,25.0,5.0,107.0,,,,,,True,False,Letonya,442.1216401017445,True
2003,Avusturya,Alf Poier,Weil Der Mensch Zählt,,2.0,6.0,101.0,,,,,,True,False,Letonya,1102.0296107786755,True
2003,Polonya,Ich Troje,Keine Grenzen - Zadnych Granic,,20.0,7.0,90.0,,,,,,True,False,Letonya,561.4143282820106,True
2003,İzlanda,Birgitta,Open Your Heart,,1.0,8.0,81.0,,,,,,True,False,Letonya,2570.450173469915,True
2003,İspanya,Beth,Dime,,12.0,8.0,81.0,,,,,,True,False,Letonya,2712.6662766747077,True
2003,Romanya,Nicola,Dont Break My Heart,,24.0,10.0,73.0,,,,,,True,False,Letonya,1399.0465908240712,True
2003,İrlanda,Mickey Harte,We've Got The World,,3.0,11.0,53.0,,,,,,True,False,Letonya,1953.5676605215826,False
2003,Almanya,Lou,Lets Get Happy,,10.0,11.0,53.0,,,,,,True,False,Letonya,844.3002082607238,False
2003,Hollanda,Esther Hart,One More Night,,14.0,13.0,45.0,,,,,,True,False,Letonya,1330.704447118487,False
2003,Ukrayna,Olexandr,Hasta La Vista,,16.0,14.0,30.0,,,,,,True,False,Letonya,836.1046070843996,False
2003,Hırvatistan,Claudia Beni,Vie Nisam Tvoja,,8.0,15.0,29.0,,,,,,True,False,Letonya,1358.9405974614897,False
2003,Bosna-Hersek,Mija Martina,Ne Brini,,6.0,16.0,27.0,,,,,,True,False,Letonya,1509.2621837931174,False
2003,Yunanistan,Mando,Never Let You Go,,17.0,17.0,25.0,,,,,,True,False,Letonya,2109.55304375102,False
2003,Fransa,Louisa Baileche,Monts Et Merveilles,,19.0,18.0,19.0,,,,,,True,False,Letonya,1703.1049990456413,False
2003,İsrail,Lior Narkis,Words For Love,,13.0,19.0,17.0,,,,,,True,False,Letonya,2926.2234359657496,False
2003,Kıbrıs,Stelios Constantas,Feeling Alive,,9.0,20.0,15.0,,,,,,True,False,Letonya,2519.4958571076313,False
2003,Estonya,Ruffus,Eighties Coming Back,,23.0,21.0,14.0,,,,,,True,False,Letonya,279.40062021023346,False
2003,Portekiz,Rita Guerra,Deixa-me Sonhar,,7.0,22.0,13.0,,,,,,True,False,Letonya,3150.701802258639,False
2003,Slovenya,Karmen,Nanana,,26.0,23.0,7.0,,,,,,True,False,Letonya,1378.228660335538,False
2003,Letonya,F.L.Y.,Hello From Mars,,21.0,24.0,5.0,,,,,,True,True,Letonya,0.0,False
2003,Malta,Lynn Chirchop,To Dream Again,,5.0,25.0,4.0,,,,,,True,False,Letonya,2448.0410760965365,False
2003,Birleşik Krallık,Jemini,Cry Baby,,15.0,26.0,0.0,,,,,,True,False,Letonya,1676.6598049907764,False
2004,Ukrayna,Ruslana,Wild Dances,0.0,10.0,1.0,280.0,,,11.0,2.0,256.0,True,False,Türkiye,1183.8939822141133,True
2004,Sırbistan-Karadağ,Željko Joksimović,Lane Moje,0.0,5.0,2.0,263.0,,,20.0,1.0,263.0,True,False,Türkiye,1152.271506306506,True
2004,Yunanistan,Sakis Rouvas,Shake It,0.0,16.0,3.0,252.0,,,10.0,3.0,238.0,True,False,Türkiye,818.2752429464603,True
2004,Türkiye,Athena,For Real,,22.0,4.0,195.0,,,,,,True,True,Türkiye,0.0,True
2004,Kıbrıs,Lisa Andreas,Stronger Every Minute,0.0,21.0,5.0,170.0,,,14.0,5.0,149.0,True,False,Türkiye,531.1171926480224,True
2004,İsveç,Lena Philipsson,It Hurts,,24.0,5.0,170.0,,,,,,True,False,Türkiye,2393.3776060952114,True
2004,Arnavutluk,Anjeza Shahini,The Image Of You,0.0,9.0,7.0,106.0,,,13.0,4.0,167.0,True,False,Türkiye,1110.3050758398806,True
2004,Almanya,Max,Can't Wait Until Tonight,,8.0,8.0,93.0,,,,,,True,False,Türkiye,2037.416427842736,True
2004,Bosna-Hersek,Deen,In The Disco,0.0,12.0,9.0,91.0,,,21.0,7.0,133.0,True,False,Türkiye,1271.2769624425025,True
2004,İspanya,Ramón,Para Llenarme De Ti,,1.0,10.0,87.0,,,,,,True,False,Türkiye,3084.232371862177,True
2004,Rusya,Julia Savicheva,Believe Me,,14.0,11.0,67.0,,,,,,True,False,Türkiye,1793.5608149946738,False
2004,Malta,Julie & Ludwig,On Again... Off Again,0.0,6.0,12.0,50.0,,,8.0,8.0,74.0,True,False,Türkiye,1667.5279773170812,False
2004,Hırvatistan,Ivan Mikulic,You Are The Only One,0.0,11.0,12.0,50.0,,,18.0,9.0,72.0,True,False,Türkiye,1519.05699542105,False
2004,Kuzey Makedonya,Tose Proeski,Life,0.0,15.0,14.0,47.0,,,15.0,10.0,71.0,True,False,Türkiye,985.9106794488746,False
2004,Fransa,Jonatan Cerrada,A Chaque Pas,,4.0,15.0,40.0,,,,,,True,False,Türkiye,2597.600609318226,False
2004,Birleşik Krallık,James Fox,Hold On To Our Love,,20.0,16.0,29.0,,,,,,True,False,Türkiye,2833.846017094089,False
2004,Polonya,Blue Cafe,Love Song,,19.0,17.0,27.0,,,,,,True,False,Türkiye,1640.3721982653221,False
2004,Romanya,Sanda Ladosi,I Admit,,23.0,18.0,18.0,,,,,,True,False,Türkiye,748.289037545759,False
2004,İzlanda,Jónsi,Heaven,,17.0,19.0,16.0,,,,,,True,False,Türkiye,4398.748566839897,False
2004,Hollanda,Re-union,Without You,0.0,7.0,20.0,11.0,,,22.0,6.0,146.0,True,False,Türkiye,2535.097089512639,False
2004,Avusturya,Tie Break,Du Bist,,2.0,21.0,9.0,,,,,,True,False,Türkiye,1601.8607181440389,False
2004,Belçika,Xandee,1 Life,,13.0,22.0,7.0,,,,,,True,False,Türkiye,2513.4587106670365,False
2004,İrlanda,Chris Doran,If My World Stopped Turning,,18.0,22.0,7.0,,,,,,True,False,Türkiye,3283.793789645542,False
2004,Norveç,Knut Anders Sørum,High,,3.0,24.0,3.0,,,,,,True,False,Türkiye,2699.91768230757,False
2004,Estonya,Neiokõsõ,Tii,0.0,,,,,,17.0,11.0,57.0,False,False,Türkiye,2242.61162106148,False
2004,İsrail,David D'or,Le'ha'amin,0.0,,,,,,5.0,11.0,57.0,False,False,Türkiye,930.7567578130045,False
2004,Danimarka,Tomas Thordarson,Shame On You,0.0,,,,,,19.0,13.0,56.0,False,False,Türkiye,2298.42167055678,False
2004,Finlandiya,Jari Sillanpää,Takes 2 To Tango,0.0,,,,,,1.0,14.0,51.0,False,False,Türkiye,2316.6615107627754,False
2004,Portekiz,Sofia,Foi Magia,0.0,,,,,,7.0,15.0,38.0,False,False,Türkiye,3580.715993597621,False
2004,Litvanya,Linas ir Simona,What's Happened To Your Love,0.0,,,,,,12.0,16.0,26.0,False,False,Türkiye,1735.449868343483,False
2004,Letonya,Fomins & Kleins,Dziesma Par Laimi,0.0,,,,,,4.0,17.0,23.0,False,False,Türkiye,1995.7519100328234,False
2004,Andorra,Marta Roure,Jugarem A Estimar-nos,0.0,,,,,,6.0,18.0,12.0,False,False,Türkiye,2621.8498040536483,False
2004,Belarus,Aleksandra & Konstantin,My Galileo,0.0,,,,,,2.0,19.0,10.0,False,False,Türkiye,1603.3896352689337,False
2004,Monako,Maryon,Notre Planète,0.0,,,,,,9.0,19.0,10.0,False,False,Türkiye,2140.8299300105937,False
2004,Slovenya,Platin,Stay Forever,0.0,,,,,,16.0,21.0,5.0,False,False,Türkiye,1635.6347533001845,False
2004,İsviçre,Piero Esteriore & the MusicStars,Celebrate,0.0,,,,,,3.0,22.0,0.0,False,False,Türkiye,2183.0970160584056,False
2005,Yunanistan,Helena Paparizou,My Number One,,19.0,1.0,230.0,,,,,,True,False,Ukrayna,1486.9009788925177,True
2005,Malta,Chiara,Angel,,3.0,2.0,192.0,,,,,,True,False,Ukrayna,2065.137076356461,True
2005,Romanya,Luminita Anghel & Sistem,Let Me Try,0.0,4.0,3.0,158.0,,,14.0,1.0,235.0,True,False,Ukrayna,747.0588197518642,True
2005,İsrail,Shiri Maymon,Hasheket Shenish'ar,0.0,11.0,4.0,154.0,,,7.0,7.0,158.0,True,False,Ukrayna,2111.9343231614966,True
2005,Letonya,Walter & Kazha,The War Is Not Over,0.0,23.0,5.0,153.0,,,5.0,10.0,85.0,True,False,Ukrayna,836.1046070843996,True
2005,Moldova,Zdob şi Zdub,Boonika Bate Doba,0.0,7.0,6.0,148.0,,,4.0,2.0,207.0,True,False,Ukrayna,401.3921835953801,True
2005,Sırbistan-Karadağ,No Name,Zauvijek Moja,,12.0,7.0,137.0,,,,,,True,False,Ukrayna,981.2297947993045,True
2005,İsviçre,Vanilla Ninja,Cool Vibes,0.0,22.0,8.0,128.0,,,19.0,8.0,114.0,True,False,Ukrayna,1729.6513391703322,True
2005,Norveç,Wig Wam,In My Dreams,0.0,5.0,9.0,125.0,,,13.0,6.0,164.0,True,False,Ukrayna,1626.6102245622128,True
2005,Danimarka,Jakob Sveistrup,Talking To You,0.0,13.0,9.0,125.0,,,24.0,3.0,185.0,True,False,Ukrayna,1327.7437096101787,True
2005,Hırvatistan,Boris Novkovic feat. Lado members,Vukovi Umiru Sami,0.0,18.0,11.0,115.0,,,20.0,4.0,169.0,True,False,Ukrayna,1193.3910382881868,False
2005,Macaristan,NOX,Forogj Világ,0.0,1.0,12.0,97.0,,,15.0,5.0,167.0,True,False,Ukrayna,898.640531736284,False
2005,Türkiye,Gülseren,Rimi Rimi Ley,,6.0,13.0,92.0,,,,,,True,False,Ukrayna,1183.8939822141133,False
2005,Bosna-Hersek,Feminnem,Call Me,,21.0,14.0,79.0,,,,,,True,False,Ukrayna,1170.307512362434,False
2005,Rusya,Natalia Podolskaya,Nobody Hurt No One,,20.0,15.0,57.0,,,,,,True,False,Ukrayna,755.5220154802621,False
2005,Arnavutluk,Ledina Celo,Tomorrow I Go,,8.0,16.0,53.0,,,,,,True,False,Ukrayna,1306.5590308676512,False
2005,Kuzey Makedonya,Martin Vucic,Make My Day,0.0,15.0,17.0,52.0,,,17.0,9.0,97.0,True,False,Ukrayna,1170.3312129819356,False
2005,Kıbrıs,Constantinos Christoforou,Ela Ela,,9.0,18.0,46.0,,,,,,True,False,Ukrayna,1714.445474736346,False
2005,İsveç,Martin Stenmarck,Las Vegas,,14.0,19.0,30.0,,,,,,True,False,Ukrayna,1264.2412140188364,False
2005,Ukrayna,Greenjolly,Razom Nas Bahato,,16.0,19.0,30.0,,,,,,True,True,Ukrayna,0.0,False
2005,İspanya,Son de sol,Brujería,,10.0,21.0,28.0,,,,,,True,False,Ukrayna,2861.8350894479545,False
2005,Birleşik Krallık,Javine,Touch My Fire,,2.0,22.0,18.0,,,,,,True,False,Ukrayna,2133.2297179698553,False
2005,Fransa,Ortal,Chacun Pense à Soi,,24.0,23.0,11.0,,,,,,True,False,Ukrayna,2023.294180998129,False
2005,Almanya,Gracia,Run & Hide,,17.0,24.0,4.0,,,,,,True,False,Ukrayna,1204.5628895395816,False
2005,Polonya,Ivan & Delfin,Czarna Dziewczyna,0.0,,,,,,25.0,11.0,81.0,False,False,Ukrayna,689.0212692361698,False
2005,Slovenya,Omar Naber,Stop,0.0,,,,,,23.0,12.0,69.0,False,False,Ukrayna,1278.6188302846176,False
2005,Belarus,Angelica Agurbash,Love Me Tonight,0.0,,,,,,8.0,13.0,67.0,False,False,Ukrayna,433.0746721692361,False
2005,Hollanda,Glennis Grace,My Impossible Dream,0.0,,,,,,9.0,14.0,53.0,False,False,Ukrayna,1780.2006484017036,False
2005,İrlanda,Donna and Joseph McCaul,Love?,0.0,,,,,,22.0,14.0,53.0,False,False,Ukrayna,2515.5241046880014,False
2005,İzlanda,Selma,If I Had Your Love,0.0,,,,,,10.0,16.0,52.0,False,False,Ukrayna,3367.291341560699,False
2005,Portekiz,2B,Amar,0.0,,,,,,3.0,17.0,51.0,False,False,Ukrayna,3351.039027049683,False
2005,Finlandiya,Geir Rönning,Why,0.0,,,,,,16.0,18.0,50.0,False,False,Ukrayna,1136.0542097995615,False
2005,Bulgaristan,Kaffe,Lorraine,0.0,,,,,,21.0,19.0,49.0,False,False,Ukrayna,1021.4123334498188,False
2005,Estonya,Suntribe,Let's Get Loud,0.0,,,,,,12.0,20.0,31.0,False,False,Ukrayna,1064.4372963542278,False
2005,Avusturya,Global.Kryner,Y Así,0.0,,,,,,1.0,21.0,30.0,False,False,Ukrayna,1053.428853303382,False
2005,Belçika,Nuno Resende,Le Grand Soir,0.0,,,,,,11.0,22.0,29.0,False,False,Ukrayna,1835.9467087747928,False
2005,Andorra,Marian van de Wal,La Mirada Interior,0.0,,,,,,18.0,23.0,27.0,False,False,Ukrayna,2370.728677485248,False
2005,Monako,Lise Darly,Tout De Moi,0.0,,,,,,6.0,24.0,22.0,False,False,Ukrayna,1891.764853579305,False
2005,Litvanya,Laura and the Lovers,Little By Little,0.0,,,,,,2.0,25.0,17.0,False,False,Ukrayna,589.3114538168633,False
2006,Finlandiya,Lordi,Hard Rock Hallelujah,0.0,17.0,1.0,292.0,,,16.0,1.0,292.0,True,False,Yunanistan,2468.8898438996557,True
2006,Rusya,Dima Bilan,Never Let You Go,0.0,10.0,2.0,248.0,,,13.0,3.0,217.0,True,False,Yunanistan,2230.8803941448336,True
2006,Bosna-Hersek,Hari Mata Hari,Lejla,0.0,13.0,3.0,229.0,,,22.0,2.0,267.0,True,False,Yunanistan,791.6190413225879,True
2006,Romanya,Mihai Traistariu,Tornero,,12.0,4.0,172.0,,,,,,True,False,Yunanistan,744.0146668756407,True
2006,İsveç,Carola,Invincible,0.0,22.0,5.0,170.0,,,20.0,4.0,214.0,True,False,Yunanistan,2408.081916448883,True
2006,Litvanya,LT United,We Are The Winners,0.0,14.0,6.0,162.0,,,18.0,5.0,163.0,True,False,Yunanistan,1861.7574188295341,True
2006,Ukrayna,Tina Karol,Show Me Your Love,0.0,18.0,7.0,145.0,,,15.0,7.0,146.0,True,False,Yunanistan,1486.9009788925177,True
2006,Ermenistan,André,Without Your Love,0.0,24.0,8.0,129.0,,,1.0,6.0,150.0,True,False,Yunanistan,1806.0448925218413,True
2006,Yunanistan,Anna Vissi,Everything,,16.0,9.0,128.0,,,,,,True,True,Yunanistan,0.0,True
2006,İrlanda,Brian Kennedy,Every Song Is A Cry For Love,0.0,21.0,10.0,93.0,,,8.0,9.0,79.0,True,False,Yunanistan,2855.3327330627394,True
2006,Türkiye,Sibel Tüzün,Superstar,0.0,23.0,11.0,91.0,,,14.0,8.0,91.0,True,False,Yunanistan,818.2752429464603,False
2006,Kuzey Makedonya,Elena Risteska,Ninanajna,0.0,11.0,12.0,56.0,,,11.0,10.0,76.0,True,False,Yunanistan,486.9988354185462,False
2006,Hırvatistan,Severina,Moja tikla,,20.0,12.0,56.0,,,,,,True,False,Yunanistan,1080.303368676508,False
2006,Norveç,Christine Guldbrandsen,Alvedansen,,5.0,14.0,36.0,,,,,,True,False,Yunanistan,2605.3495352133896,False
2006,Almanya,Texas Lightning,"No, No, Never",,8.0,14.0,36.0,,,,,,True,False,Yunanistan,1803.5294547305612,False
2006,İsviçre,Six4One,If We All Give A Little,,1.0,16.0,30.0,,,,,,True,False,Yunanistan,1661.2808070470978,False
2006,Letonya,Cosmos,I Hear Your Heart,,4.0,16.0,30.0,,,,,,True,False,Yunanistan,2109.55304375102,False
2006,Danimarka,Sidsel Ben Semmane,Twist Of Love,,9.0,18.0,26.0,,,,,,True,False,Yunanistan,2137.237204258878,False
2006,Birleşik Krallık,Daz Sampson,Teenage Life,,15.0,19.0,25.0,,,,,,True,False,Yunanistan,2392.3621771966787,False
2006,Moldova,Arsenium & Natalia Gordienko,Loca,,2.0,20.0,22.0,,,,,,True,False,Yunanistan,1088.005597107162,False
2006,İspanya,Las Ketchup,Bloody Mary,,6.0,21.0,18.0,,,,,,True,False,Yunanistan,2369.5552597746237,False
2006,Fransa,Virginie Pouchin,Il était Temps,,19.0,22.0,5.0,,,,,,True,False,Yunanistan,2096.609748642384,False
2006,İsrail,Eddie Butler,Ze Hazman,,3.0,23.0,4.0,,,,,,True,False,Yunanistan,1252.9825098662402,False
2006,Malta,Fabrizio Faniello,I Do,,7.0,24.0,1.0,,,,,,True,False,Yunanistan,851.0112173369382,False
2006,Polonya,Ich Troje,Follow My Heart,0.0,,,,,,12.0,11.0,70.0,False,False,Yunanistan,1598.544800210323,False
2006,Belçika,Kate Ryan,Je t'adore,0.0,,,,,,7.0,12.0,69.0,False,False,Yunanistan,2089.847533290674,False
2006,İzlanda,Silvia Night,Congratulations,0.0,,,,,,23.0,13.0,62.0,False,False,Yunanistan,4157.125639968586,False
2006,Arnavutluk,Luiz Ejlli,Zjarr E Ftohtë,0.0,,,,,,6.0,14.0,58.0,False,False,Yunanistan,500.6877638248327,False
2006,Kıbrıs,Annet Artani,Why Angels Cry,0.0,,,,,,9.0,15.0,57.0,False,False,Yunanistan,914.3940326266465,False
2006,Slovenya,Anej Dean,Mr. Nobody,0.0,,,,,,3.0,16.0,49.0,False,False,Yunanistan,1176.20431150057,False
2006,Bulgaristan,Mariana Popova,Let Me Cry,0.0,,,,,,2.0,17.0,36.0,False,False,Yunanistan,525.9871089982005,False
2006,Estonya,Sandra,Through My Window,0.0,,,,,,21.0,18.0,28.0,False,False,Yunanistan,2387.348758827558,False
2006,Portekiz,Nonstop,Coisas De Nada,0.0,,,,,,19.0,19.0,26.0,False,False,Yunanistan,2851.215482607482,False
2006,Hollanda,Treble,Amambanda,0.0,,,,,,17.0,20.0,22.0,False,False,Yunanistan,2163.9401431410047,False
2006,Monako,Séverine Ferrer,La Coco-dance,0.0,,,,,,10.0,21.0,14.0,False,False,Yunanistan,1509.9281666768345,False
2006,Belarus,Polina Smolova,Mum,0.0,,,,,,5.0,22.0,10.0,False,False,Yunanistan,1794.2813023576323,False
2006,Andorra,Jennifer,Sense Tu,0.0,,,,,,4.0,23.0,8.0,False,False,Yunanistan,1944.891950712174,False
2007,Sırbistan,Marija Šerifović,Molitva,0.0,17.0,1.0,268.0,,,15.0,1.0,298.0,True,False,Finlandiya,1736.0130823302377,True
2007,Ukrayna,Verka Serduchka,Dancing Lasha Tumbai,,18.0,2.0,235.0,,,,,,True,False,Finlandiya,1136.0542097995615,True
2007,Rusya,Serebro,Song # 1,,15.0,3.0,207.0,,,,,,True,False,Finlandiya,892.7544057894416,True
