yil,oy_veren_ulke,oy_alan_ulke,puan,tele_puan,juri_puan,uzaklik_km
2000,Kıbrıs,İrlanda,7,,,3677.3471456235984
2000,Kıbrıs,İsveç,0,,,2907.6990472188413
2000,Kıbrıs,Malta,8,,,1704.9502917456584
2000,Kıbrıs,Hırvatistan,0,,,1879.6542311554674
2000,Kıbrıs,Türkiye,0,,,531.1171926480224
2000,Kıbrıs,Norveç,0,,,3196.9752868670234
2000,Kıbrıs,İzlanda,0,,,4868.650093735903
2000,Kıbrıs,Hollanda,5,,,2946.2691887785836
2000,Kıbrıs,Avusturya,0,,,2014.2285611353925
2000,Kıbrıs,Kuzey Makedonya,2,,,1282.6888449506096
2000,Kıbrıs,Birleşik Krallık,3,,,3217.7334390505494
2000,Kıbrıs,Romanya,0,,,1200.867153496067
2000,Kıbrıs,İspanya,10,,,3283.5971246275903
2000,Kıbrıs,Finlandiya,0,,,2845.2273083962336
2000,Kıbrıs,İsviçre,0,,,2519.0114726135844
2000,Kıbrıs,İsrail,0,,,414.5272892462858
2000,Kıbrıs,Fransa,0,,,2949.6278749525313
2000,Kıbrıs,Belçika,0,,,2902.0938188929854
2000,Danimarka,Rusya,6,,,1560.5111659685604
2000,Danimarka,Letonya,8,,,724.6378577885721
2000,Danimarka,Estonya,4,,,836.4151854032597
2000,Danimarka,Almanya,2,,,355.51192912991974
2000,Danimarka,İrlanda,5,,,1238.614770014609
2000,Danimarka,İsveç,10,,,521.8283543394244
2000,Danimarka,Malta,3,,,2204.3586396987253
2000,Danimarka,Hırvatistan,0,,,1123.0611498651906
2000,Danimarka,Türkiye,1,,,2298.42167055678
2000,Danimarka,Norveç,7,,,482.5145373969692
2000,Danimarka,İzlanda,12,,,2100.4110785219154
2000,Danimarka,Hollanda,0,,,621.0904596243221
2000,Danimarka,Avusturya,0,,,870.170886635871
2000,Danimarka,Kuzey Makedonya,0,,,1651.4946499573855
2000,Danimarka,Birleşik Krallık,0,,,955.7973969875035
2000,Danimarka,Romanya,0,,,1574.6470578648339
2000,Danimarka,İspanya,0,,,2072.5578522192986
2000,Danimarka,Finlandiya,0,,,882.5734406937115
2000,Danimarka,İsviçre,0,,,1033.1996318526253
2000,Danimarka,Kıbrıs,0,,,2775.4415560856755
2000,Danimarka,İsrail,0,,,3189.4011457734427
2000,Danimarka,Fransa,0,,,1026.8707774503553
2000,Danimarka,Belçika,0,,,765.4126439969357
2000,Estonya,Danimarka,8,,,836.4151854032597
2000,Estonya,Rusya,10,,,867.7764592691553
2000,Estonya,Letonya,12,,,279.40062021023346
2000,Estonya,Almanya,0,,,1041.6074389257474
2000,Estonya,İrlanda,4,,,2003.0992635631399
2000,Estonya,İsveç,5,,,378.312737300521
2000,Estonya,Malta,1,,,2720.2782031884344
2000,Estonya,Hırvatistan,0,,,1623.8245652590779
2000,Estonya,Türkiye,0,,,2242.61162106148
2000,Estonya,Norveç,3,,,786.2581803315136
2000,Estonya,İzlanda,6,,,2444.0231164168445
2000,Estonya,Hollanda,0,,,1457.3253015323758
2000,Estonya,Avusturya,0,,,1361.9979291534205
2000,Estonya,Kuzey Makedonya,0,,,1953.781510031528
2000,Estonya,Birleşik Krallık,2,,,1783.5751267437356
2000,Estonya,Romanya,0,,,1671.5132074172675
2000,Estonya,İspanya,0,,,2893.0412267369197
2000,Estonya,Finlandiya,7,,,81.8647216435604
2000,Estonya,İsviçre,0,,,1793.6124348076996
2000,Estonya,Kıbrıs,0,,,2770.407908086719
2000,Estonya,İsrail,0,,,3172.9979958587587
2000,Estonya,Fransa,0,,,1858.3429259391144
2000,Estonya,Belçika,0,,,1599.5026288418783
2000,Finlandiya,Danimarka,10,,,882.5734406937115
2000,Finlandiya,Rusya,5,,,892.7544057894416
2000,Finlandiya,Letonya,12,,,361.2617369183143
2000,Finlandiya,Estonya,8,,,81.8647216435604
2000,Finlandiya,Almanya,2,,,1105.567170582099
2000,Finlandiya,İrlanda,1,,,2023.6305831358839
2000,Finlandiya,İsveç,7,,,395.8102514911714
2000,Finlandiya,Malta,0,,,2800.110075921766
2000,Finlandiya,Hırvatistan,6,,,1702.0519519144254
2000,Finlandiya,Türkiye,4,,,2316.6615107627754
2000,Finlandiya,Norveç,0,,,786.9852566850991
2000,Finlandiya,İzlanda,0,,,2410.8020428010536
2000,Finlandiya,Hollanda,0,,,1501.4209658512439
2000,Finlandiya,Avusturya,3,,,1439.2547692465528
2000,Finlandiya,Kuzey Makedonya,0,,,2035.638140572801
2000,Finlandiya,Birleşik Krallık,0,,,1820.9053714052204
2000,Finlandiya,Romanya,0,,,1751.9170367077397
2000,Finlandiya,İspanya,0,,,2947.9874796821273
2000,Finlandiya,İsviçre,0,,,1857.432702003754
2000,Finlandiya,Kıbrıs,0,,,2845.2273083962336
2000,Finlandiya,İsrail,0,,,3246.609574742888
2000,Finlandiya,Fransa,0,,,1908.3705635592291
2000,Finlandiya,Belçika,0,,,1647.816954723723
2000,Fransa,Danimarka,7,,,1026.8707774503553
2000,Fransa,Rusya,5,,,2486.323582474517
2000,Fransa,Letonya,3,,,1703.1049990456413
2000,Fransa,Estonya,0,,,1858.3429259391144
2000,Fransa,Almanya,10,,,877.0899531760446
2000,Fransa,İrlanda,4,,,780.5030633798876
2000,Fransa,İsveç,1,,,1543.4414163235358
2000,Fransa,Malta,0,,,1748.6319121379618
2000,Fransa,Hırvatistan,8,,,1079.90315961657
2000,Fransa,Türkiye,12,,,2597.600609318226
2000,Fransa,Norveç,0,,,1341.239838205445
2000,Fransa,İzlanda,0,,,2226.9256151220147
2000,Fransa,Hollanda,2,,,429.69974559559745
2000,Fransa,Avusturya,0,,,1033.3346223073381
2000,Fransa,Kuzey Makedonya,0,,,1667.1722405190837
2000,Fransa,Birleşik Krallık,0,,,343.47406573887247
2000,Fransa,Romanya,0,,,1870.1605979627104
2000,Fransa,İspanya,0,,,1052.6853743549439
2000,Fransa,Finlandiya,0,,,1908.3705635592291
2000,Fransa,İsviçre,0,,,435.3291101111754
2000,Fransa,Kıbrıs,0,,,2949.6278749525313
2000,Fransa,İsrail,6,,,3331.5899094844312
2000,Fransa,Belçika,0,,,263.6470502922094
2000,Almanya,Danimarka,12,,,355.51192912991974
2000,Almanya,Rusya,4,,,1609.2812870314053
2000,Almanya,Letonya,7,,,844.3002082607238
2000,Almanya,Estonya,5,,,1041.6074389257474
2000,Almanya,İrlanda,0,,,1316.640024914727
2000,Almanya,İsveç,8,,,810.7215835619496
2000,Almanya,Malta,3,,,1850.1188202117673
2000,Almanya,Hırvatistan,6,,,769.204688667908
2000,Almanya,Türkiye,10,,,2037.416427842736
2000,Almanya,Norveç,0,,,837.7350584592342
2000,Almanya,İzlanda,0,,,2381.617427582829
2000,Almanya,Hollanda,1,,,576.002886990363
2000,Almanya,Avusturya,2,,,523.3943469636869
2000,Almanya,Kuzey Makedonya,0,,,1316.5306197997377
2000,Almanya,Birleşik Krallık,0,,,931.318778737352
2000,Almanya,Romanya,0,,,1294.8516336658656
2000,Almanya,İspanya,0,,,1868.4052348207445
2000,Almanya,Finlandiya,0,,,1105.567170582099
2000,Almanya,İsviçre,0,,,752.0725719794682
2000,Almanya,Kıbrıs,0,,,2489.4880241818814
2000,Almanya,İsrail,0,,,2900.5787537670244
2000,Almanya,Fransa,0,,,877.0899531760446
2000,Almanya,Belçika,0,,,650.4418546880279
2000,İzlanda,Danimarka,12,,,2100.4110785219154
2000,İzlanda,Rusya,8,,,3302.7476796793776
2000,İzlanda,Letonya,10,,,2570.450173469915
2000,İzlanda,Estonya,5,,,2444.0231164168445
2000,İzlanda,Almanya,6,,,2381.617427582829
2000,İzlanda,İrlanda,2,,,1489.1596147540265
2000,İzlanda,İsveç,4,,,2128.7431308926693
2000,İzlanda,Malta,0,,,3966.7221868006995
2000,İzlanda,Hırvatistan,0,,,3078.7293601735764
2000,İzlanda,Türkiye,0,,,4398.748566839897
2000,İzlanda,Norveç,7,,,1741.1895787372437
2000,İzlanda,Hollanda,1,,,2011.6871405787474
2000,İzlanda,Avusturya,3,,,2882.1000684058968
2000,İzlanda,Kuzey Makedonya,0,,,3675.2334638976126
2000,İzlanda,Birleşik Krallık,0,,,1883.5824211660379
2000,İzlanda,Romanya,0,,,3669.0974199590055
2000,İzlanda,İspanya,0,,,2886.348975178954
2000,İzlanda,Finlandiya,0,,,2410.8020428010536
2000,İzlanda,İsviçre,0,,,2608.3969297388817
2000,İzlanda,Kıbrıs,0,,,4868.650093735903
2000,İzlanda,İsrail,0,,,5281.0004873933
2000,İzlanda,Fransa,0,,,2226.9256151220147
2000,İzlanda,Belçika,0,,,2122.4455357004895
2000,İrlanda,Danimarka,12,,,1238.614770014609
2000,İrlanda,Rusya,10,,,2794.688195995596
2000,İrlanda,Letonya,8,,,1953.5676605215826
2000,İrlanda,Estonya,7,,,2003.0992635631399
2000,İrlanda,Almanya,5,,,1316.640024914727
2000,İrlanda,İsveç,6,,,1628.3183001270695
2000,İrlanda,Malta,3,,,2523.84852541653
2000,İrlanda,Hırvatistan,0,,,1798.9324640292389
2000,İrlanda,Türkiye,0,,,3283.793789645542
2000,İrlanda,Norveç,4,,,1264.7356644608708
2000,İrlanda,İzlanda,0,,,1489.1596147540265
2000,İrlanda,Hollanda,1,,,756.314119505974
2000,İrlanda,Avusturya,2,,,1681.9842398055919
2000,İrlanda,Kuzey Makedonya,0,,,2404.909246094129
2000,İrlanda,Birleşik Krallık,0,,,463.0296351144619
2000,İrlanda,Romanya,0,,,2537.8080040620307
2000,İrlanda,İspanya,0,,,1450.607265140831
2000,İrlanda,Finlandiya,0,,,2023.6305831358839
2000,İrlanda,İsviçre,0,,,1205.2978142839256
2000,İrlanda,Kıbrıs,0,,,3677.3471456235984
2000,İrlanda,İsrail,0,,,4071.005352147299
2000,İrlanda,Fransa,0,,,780.5030633798876
2000,İrlanda,Belçika,0,,,775.2843833927938
2000,İsrail,Danimarka,12,,,3189.4011457734427
2000,İsrail,Rusya,10,,,2671.9159648419413
2000,İsrail,Letonya,4,,,2926.2234359657496
2000,İsrail,Estonya,6,,,3172.9979958587587
2000,İsrail,Almanya,0,,,2900.5787537670244
2000,İsrail,İrlanda,2,,,4071.005352147299
2000,İsrail,İsveç,0,,,3319.222919453242
2000,İsrail,Malta,3,,,1962.721535935678
2000,İsrail,Hırvatistan,0,,,2272.181057003228
2000,İsrail,Türkiye,0,,,930.7567578130045
2000,İsrail,Norveç,7,,,3611.377694671214
2000,İsrail,İzlanda,5,,,5281.0004873933
2000,İsrail,Hollanda,8,,,3347.2560899934806
2000,İsrail,Avusturya,0,,,2418.9346542298367
2000,İsrail,Kuzey Makedonya,0,,,1667.2604445187271
2000,İsrail,Birleşik Krallık,1,,,3609.568868077548
2000,İsrail,Romanya,0,,,1614.7559835617437
2000,İsrail,İspanya,0,,,3594.7799782996212
2000,İsrail,Finlandiya,0,,,3246.609574742888
2000,İsrail,İsviçre,0,,,2897.9729977608677
2000,İsrail,Kıbrıs,0,,,414.5272892462858
2000,İsrail,Fransa,0,,,3331.5899094844312
2000,İsrail,Belçika,0,,,3296.6140824389577
2000,Letonya,Danimarka,12,,,724.6378577885721
2000,Letonya,Rusya,0,,,841.6093572101794
2000,Letonya,Estonya,10,,,279.40062021023346
2000,Letonya,Almanya,8,,,844.3002082607238
2000,Letonya,İrlanda,1,,,1953.5676605215826
2000,Letonya,İsveç,0,,,442.1216401017445
2000,Letonya,Malta,4,,,2448.0410760965365
2000,Letonya,Hırvatistan,0,,,1358.9405974614897
2000,Letonya,Türkiye,0,,,1995.7519100328234
2000,Letonya,Norveç,6,,,842.6378430610632
2000,Letonya,İzlanda,7,,,2570.450173469915
2000,Letonya,Hollanda,0,,,1330.704447118487
2000,Letonya,Avusturya,5,,,1102.0296107786755
2000,Letonya,Kuzey Makedonya,0,,,1674.383077218018
2000,Letonya,Birleşik Krallık,3,,,1676.6598049907764
2000,Letonya,Romanya,0,,,1399.0465908240712
2000,Letonya,İspanya,0,,,2712.6662766747077
2000,Letonya,Finlandiya,0,,,361.2617369183143
2000,Letonya,İsviçre,2,,,1585.8423452903442
2000,Letonya,Kıbrıs,0,,,2519.4958571076313
2000,Letonya,İsrail,0,,,2926.2234359657496
2000,Letonya,Fransa,0,,,1703.1049990456413
2000,Letonya,Belçika,0,,,1454.19721107928
2000,Malta,Danimarka,8,,,2204.3586396987253
2000,Malta,Rusya,12,,,2814.4535502590497
2000,Malta,Letonya,0,,,2448.0410760965365
2000,Malta,Estonya,7,,,2720.2782031884344
2000,Malta,Almanya,0,,,1850.1188202117673
2000,Malta,İrlanda,10,,,2523.84852541653
2000,Malta,İsveç,4,,,2618.043034827562
2000,Malta,Hırvatistan,0,,,1108.7995888734406
2000,Malta,Türkiye,0,,,1667.5279773170812
2000,Malta,Norveç,3,,,2683.4448906197963
2000,Malta,İzlanda,0,,,3966.7221868006995
2000,Malta,Hollanda,5,,,1981.3849559184575
2000,Malta,Avusturya,2,,,1377.2828665961958
2000,Malta,Kuzey Makedonya,0,,,903.0755652035507
2000,Malta,Birleşik Krallık,6,,,2088.525800487817
2000,Malta,Romanya,0,,,1364.756540304296
2000,Malta,İspanya,0,,,1665.9910929117702
2000,Malta,Finlandiya,0,,,2800.110075921766
2000,Malta,İsviçre,0,,,1361.0380936630938
2000,Malta,Kıbrıs,1,,,1704.9502917456584
2000,Malta,İsrail,0,,,1962.721535935678
2000,Malta,Fransa,0,,,1748.6319121379618
2000,Malta,Belçika,0,,,1850.0874076822597
2000,Hollanda,Danimarka,10,,,621.0904596243221
2000,Hollanda,Rusya,0,,,2147.34045374749
2000,Hollanda,Letonya,4,,,1330.704447118487
2000,Hollanda,Estonya,7,,,1457.3253015323758
2000,Hollanda,Almanya,8,,,576.002886990363
2000,Hollanda,İrlanda,3,,,756.314119505974
2000,Hollanda,İsveç,0,,,1125.3782786757763
2000,Hollanda,Malta,1,,,1981.3849559184575
2000,Hollanda,Hırvatistan,0,,,1085.514351465549
2000,Hollanda,Türkiye,12,,,2535.097089512639
2000,Hollanda,Norveç,0,,,912.5536049447944
2000,Hollanda,İzlanda,0,,,2011.6871405787474
2000,Hollanda,Avusturya,0,,,935.4649215673201
2000,Hollanda,Kuzey Makedonya,0,,,1693.499758849517
2000,Hollanda,Birleşik Krallık,0,,,357.73761547640396
2000,Hollanda,Romanya,0,,,1787.3188676020789
2000,Hollanda,İspanya,0,,,1481.0107517557976
2000,Hollanda,Finlandiya,5,,,1501.4209658512439
2000,Hollanda,İsviçre,6,,,629.9010028889128
2000,Hollanda,Kıbrıs,0,,,2946.2691887785836
2000,Hollanda,İsrail,0,,,3347.2560899934806
2000,Hollanda,Fransa,2,,,429.69974559559745
2000,Hollanda,Belçika,0,,,173.22943527194417
2000,Kuzey Makedonya,Danimarka,0,,,1651.4946499573855
2000,Kuzey Makedonya,Rusya,7,,,1924.7316999951565
2000,Kuzey Makedonya,Letonya,3,,,1674.383077218018
2000,Kuzey Makedonya,Estonya,0,,,1953.781510031528
2000,Kuzey Makedonya,Almanya,0,,,1316.5306197997377
2000,Kuzey Makedonya,İrlanda,0,,,2404.909246094129
2000,Kuzey Makedonya,İsveç,6,,,1942.0031816295946
2000,Kuzey Makedonya,Malta,8,,,903.0755652035507
2000,Kuzey Makedonya,Hırvatistan,10,,,608.9034250856465
2000,Kuzey Makedonya,Türkiye,5,,,985.9106794488746
2000,Kuzey Makedonya,Norveç,0,,,2122.204879472581
2000,Kuzey Makedonya,İzlanda,0,,,3675.2334638976126
2000,Kuzey Makedonya,Hollanda,0,,,1693.499758849517
2000,Kuzey Makedonya,Avusturya,0,,,797.1283288266336
2000,Kuzey Makedonya,Birleşik Krallık,0,,,1942.834976570279
2000,Kuzey Makedonya,Romanya,12,,,465.5543552883451
2000,Kuzey Makedonya,İspanya,0,,,2101.99289616384
2000,Kuzey Makedonya,Finlandiya,0,,,2035.638140572801
2000,Kuzey Makedonya,İsviçre,0,,,1236.4400066837868
2000,Kuzey Makedonya,Kıbrıs,4,,,1282.6888449506096
2000,Kuzey Makedonya,İsrail,1,,,1667.2604445187271
2000,Kuzey Makedonya,Fransa,0,,,1667.1722405190837
2000,Kuzey Makedonya,Belçika,2,,,1631.9664969586743
2000,Norveç,Danimarka,10,,,482.5145373969692
2000,Norveç,Rusya,8,,,1643.7499067698775
2000,Norveç,Letonya,12,,,842.6378430610632
2000,Norveç,Estonya,4,,,786.2581803315136
2000,Norveç,Almanya,3,,,837.7350584592342
2000,Norveç,İrlanda,6,,,1264.7356644608708
2000,Norveç,İsveç,5,,,416.43828023952125
2000,Norveç,Malta,2,,,2683.4448906197963
2000,Norveç,Hırvatistan,0,,,1605.4552770811124
2000,Norveç,Türkiye,1,,,2699.91768230757
2000,Norveç,İzlanda,7,,,1741.1895787372437
2000,Norveç,Hollanda,0,,,912.5536049447944
2000,Norveç,Avusturya,0,,,1350.5063527057657
2000,Norveç,Kuzey Makedonya,0,,,2122.204879472581
2000,Norveç,Birleşik Krallık,0,,,1153.1785636744903
2000,Norveç,Romanya,0,,,2003.6663902235591
2000,Norveç,İspanya,0,,,2387.078474686203
2000,Norveç,Finlandiya,0,,,786.9852566850991
2000,Norveç,İsviçre,0,,,1457.1201279398003
2000,Norveç,Kıbrıs,0,,,3196.9752868670234
2000,Norveç,İsrail,0,,,3611.377694671214
2000,Norveç,Fransa,0,,,1341.239838205445
2000,Norveç,Belçika,0,,,1084.3291672127093
2000,Romanya,Danimarka,1,,,1574.6470578648339
2000,Romanya,Rusya,12,,,1498.9473300042305
2000,Romanya,Letonya,0,,,1399.0465908240712
2000,Romanya,Estonya,6,,,1671.5132074172675
2000,Romanya,Almanya,0,,,1294.8516336658656
2000,Romanya,İrlanda,2,,,2537.8080040620307
2000,Romanya,İsveç,0,,,1743.103020873214
2000,Romanya,Malta,7,,,1364.756540304296
2000,Romanya,Hırvatistan,8,,,808.1397053303891
2000,Romanya,Türkiye,0,,,748.289037545759
2000,Romanya,Norveç,0,,,2003.6663902235591
2000,Romanya,İzlanda,0,,,3669.0974199590055
2000,Romanya,Hollanda,0,,,1787.3188676020789
2000,Romanya,Avusturya,0,,,856.3991029569814
2000,Romanya,Kuzey Makedonya,10,,,465.5543552883451
2000,Romanya,Birleşik Krallık,3,,,2091.2540748895804
2000,Romanya,İspanya,5,,,2472.049896009658
2000,Romanya,Finlandiya,4,,,1751.9170367077397
2000,Romanya,İsviçre,0,,,1471.769031660659
2000,Romanya,Kıbrıs,0,,,1200.867153496067
2000,Romanya,İsrail,0,,,1614.7559835617437
2000,Romanya,Fransa,0,,,1870.1605979627104
2000,Romanya,Belçika,0,,,1770.5274099467795
2000,Rusya,Danimarka,12,,,1560.5111659685604
2000,Rusya,Letonya,1,,,841.6093572101794
2000,Rusya,Estonya,0,,,867.7764592691553
2000,Rusya,Almanya,4,,,1609.2812870314053
2000,Rusya,İrlanda,0,,,2794.688195995596
2000,Rusya,İsveç,0,,,1227.4426626648965
2000,Rusya,Malta,8,,,2814.4535502590497
2000,Rusya,Hırvatistan,10,,,1867.6307956523037
2000,Rusya,Türkiye,0,,,1793.5608149946738
2000,Rusya,Norveç,0,,,1643.7499067698775
2000,Rusya,İzlanda,0,,,3302.7476796793776
2000,Rusya,Hollanda,0,,,2147.34045374749
2000,Rusya,Avusturya,0,,,1669.7220461815668
2000,Rusya,Kuzey Makedonya,7,,,1924.7316999951565
2000,Rusya,Birleşik Krallık,0,,,2500.772606080655
2000,Rusya,Romanya,6,,,1498.9473300042305
2000,Rusya,İspanya,2,,,3439.8961950643234
2000,Rusya,Finlandiya,0,,,892.7544057894416
2000,Rusya,İsviçre,5,,,2288.340511176307
2000,Rusya,Kıbrıs,0,,,2311.318723139905
2000,Rusya,İsrail,0,,,2671.9159648419413
2000,Rusya,Fransa,3,,,2486.323582474517
2000,Rusya,Belçika,0,,,2253.2843962202346
2000,İspanya,Danimarka,10,,,2072.5578522192986
2000,İspanya,Rusya,5,,,3439.8961950643234
2000,İspanya,Letonya,7,,,2712.6662766747077
2000,İspanya,Estonya,0,,,2893.0412267369197
2000,İspanya,Almanya,12,,,1868.4052348207445
2000,İspanya,İrlanda,3,,,1450.607265140831
2000,İspanya,İsveç,6,,,2592.6757186239106
2000,İspanya,Malta,1,,,1665.9910929117702
2000,İspanya,Hırvatistan,2,,,1700.7066842176196
2000,İspanya,Türkiye,0,,,3084.232371862177
2000,İspanya,Norveç,0,,,2387.078474686203
2000,İspanya,İzlanda,0,,,2886.348975178954
2000,İspanya,Hollanda,4,,,1481.0107517557976
2000,İspanya,Avusturya,8,,,1808.8983281857752
2000,İspanya,Kuzey Makedonya,0,,,2101.99289616384
2000,İspanya,Birleşik Krallık,0,,,1263.2437828736622
2000,İspanya,Romanya,0,,,2472.049896009658
2000,İspanya,Finlandiya,0,,,2947.9874796821273
2000,İspanya,İsviçre,0,,,1151.7848051755122
2000,İspanya,Kıbrıs,0,,,3283.5971246275903
2000,İspanya,İsrail,0,,,3594.7799782996212
2000,İspanya,Fransa,0,,,1052.6853743549439
2000,İspanya,Belçika,0,,,1316.0461199456327
2000,İsveç,Danimarka,12,,,521.8283543394244
2000,İsveç,Rusya,5,,,1227.4426626648965
2000,İsveç,Letonya,10,,,442.1216401017445
2000,İsveç,Estonya,6,,,378.312737300521
2000,İsveç,Almanya,0,,,810.7215835619496
2000,İsveç,İrlanda,4,,,1628.3183001270695
2000,İsveç,Malta,3,,,2618.043034827562
2000,İsveç,Hırvatistan,0,,,1509.7875637990867
2000,İsveç,Türkiye,1,,,2393.3776060952114
2000,İsveç,Norveç,7,,,416.43828023952125
2000,İsveç,İzlanda,8,,,2128.7431308926693
2000,İsveç,Hollanda,0,,,1125.3782786757763
2000,İsveç,Avusturya,0,,,1241.420198640462
2000,İsveç,Kuzey Makedonya,0,,,1942.0031816295946
2000,İsveç,Birleşik Krallık,0,,,1432.7922380288833
2000,İsveç,Romanya,0,,,1743.103020873214
2000,İsveç,İspanya,0,,,2592.6757186239106
2000,İsveç,Finlandiya,2,,,395.8102514911714
2000,İsveç,İsviçre,0,,,1543.8509635777887
2000,İsveç,Kıbrıs,0,,,2907.6990472188413
2000,İsveç,İsrail,0,,,3319.222919453242
2000,İsveç,Fransa,0,,,1543.4414163235358
2000,İsveç,Belçika,0,,,1280.2270909991032
2000,İsviçre,Danimarka,10,,,1033.1996318526253
2000,İsviçre,Rusya,2,,,2288.340511176307
2000,İsviçre,Letonya,7,,,1585.8423452903442
2000,İsviçre,Estonya,0,,,1793.6124348076996
2000,İsviçre,Almanya,12,,,752.0725719794682
2000,İsviçre,İrlanda,8,,,1205.2978142839256
2000,İsviçre,İsveç,3,,,1543.8509635777887
2000,İsviçre,Malta,0,,,1361.0380936630938
2000,İsviçre,Hırvatistan,6,,,666.147492580204
2000,İsviçre,Türkiye,5,,,2183.0970160584056
2000,İsviçre,Norveç,0,,,1457.1201279398003
2000,İsviçre,İzlanda,0,,,2608.3969297388817
2000,İsviçre,Hollanda,0,,,629.9010028889128
2000,İsviçre,Avusturya,4,,,683.1589421719332
2000,İsviçre,Kuzey Makedonya,0,,,1236.4400066837868
2000,İsviçre,Birleşik Krallık,0,,,747.6542740825438
2000,İsviçre,Romanya,0,,,1471.769031660659
2000,İsviçre,İspanya,1,,,1151.7848051755122
2000,İsviçre,Finlandiya,0,,,1857.432702003754
2000,İsviçre,Kıbrıs,0,,,2519.0114726135844
2000,İsviçre,İsrail,0,,,2897.9729977608677
2000,İsviçre,Fransa,0,,,435.3291101111754
2000,İsviçre,Belçika,0,,,489.1867186146511
