tarih,sicaklik_max,sicaklik_min,sicaklik_ort,yagis,ruzgar_max,yil,ay,gun,hafta_gunu,mevsim,il
2020-03-02,8.8,-1.8,3.7,0.0,12.0,2020,3,2,Monday,İlkbahar,Malatya
2020-03-03,11.5,2.7,7.2,0.0,6.5,2020,3,3,Tuesday,İlkbahar,Malatya
2020-03-04,12.8,4.8,8.7,0.0,6.6,2020,3,4,Wednesday,İlkbahar,Malatya
2020-03-05,14.3,7.0,10.0,0.0,7.0,2020,3,5,Thursday,İlkbahar,Malatya
2020-03-06,13.9,6.5,9.4,6.8,10.2,2020,3,6,Friday,İlkbahar,Malatya
2020-03-07,14.4,3.6,8.8,0.8,7.9,2020,3,7,Saturday,İlkbahar,Malatya
2020-03-08,16.2,5.2,10.8,0.0,8.2,2020,3,8,Sunday,İlkbahar,Malatya
2020-03-09,17.5,7.6,12.1,0.0,6.6,2020,3,9,Monday,İlkbahar,Malatya
2020-03-10,17.7,8.0,12.5,0.0,18.0,2020,3,10,Tuesday,İlkbahar,Malatya
2020-03-11,17.4,7.1,11.8,0.0,10.3,2020,3,11,Wednesday,İlkbahar,Malatya
2020-03-12,16.8,8.1,12.4,4.4,5.6,2020,3,12,Thursday,İlkbahar,Malatya
2020-03-13,12.8,9.1,10.6,26.4,9.7,2020,3,13,Friday,İlkbahar,Malatya
2020-03-14,14.0,7.1,9.7,6.3,8.1,2020,3,14,Saturday,İlkbahar,Malatya
2020-03-15,16.5,7.1,11.5,0.0,7.7,2020,3,15,Sunday,İlkbahar,Malatya
2020-03-16,13.4,7.2,10.2,9.8,7.6,2020,3,16,Monday,İlkbahar,Malatya
2020-03-17,6.9,3.5,5.3,3.7,11.6,2020,3,17,Tuesday,İlkbahar,Malatya
2020-03-18,3.3,0.3,1.9,17.2,12.4,2020,3,18,Wednesday,İlkbahar,Malatya
2020-03-19,4.2,-1.2,1.2,13.0,6.2,2020,3,19,Thursday,İlkbahar,Malatya
2020-03-20,5.6,-2.4,1.7,8.1,7.2,2020,3,20,Friday,İlkbahar,Malatya
2020-03-21,9.7,-1.4,4.7,0.0,9.6,2020,3,21,Saturday,İlkbahar,Malatya
2020-03-22,12.6,1.2,6.5,0.0,10.5,2020,3,22,Sunday,İlkbahar,Malatya
2020-03-23,13.7,4.3,8.6,0.0,7.0,2020,3,23,Monday,İlkbahar,Malatya
2020-03-24,12.5,5.9,8.5,1.0,8.7,2020,3,24,Tuesday,İlkbahar,Malatya
2020-03-25,12.8,5.5,8.3,2.0,9.5,2020,3,25,Wednesday,İlkbahar,Malatya
2020-03-26,14.8,5.0,9.3,5.4,9.4,2020,3,26,Thursday,İlkbahar,Malatya
2020-03-27,12.5,7.0,9.3,4.4,10.2,2020,3,27,Friday,İlkbahar,Malatya
2020-03-28,13.9,6.6,10.0,3.8,6.2,2020,3,28,Saturday,İlkbahar,Malatya
2020-03-29,11.0,6.2,8.1,15.3,10.6,2020,3,29,Sunday,İlkbahar,Malatya
2020-03-30,12.4,5.1,8.2,0.0,17.7,2020,3,30,Monday,İlkbahar,Malatya
2020-03-31,13.5,3.4,8.4,1.9,9.4,2020,3,31,Tuesday,İlkbahar,Malatya
2020-04-01,6.9,1.6,4.4,45.4,6.1,2020,4,1,Wednesday,İlkbahar,Malatya
2020-04-02,12.2,2.7,7.6,0.0,8.6,2020,4,2,Thursday,İlkbahar,Malatya
2020-04-03,11.3,5.2,7.9,6.3,16.2,2020,4,3,Friday,İlkbahar,Malatya
2020-04-04,12.9,4.9,8.5,3.8,16.6,2020,4,4,Saturday,İlkbahar,Malatya
2020-04-05,13.6,7.5,10.3,0.0,6.6,2020,4,5,Sunday,İlkbahar,Malatya
2020-04-06,15.7,7.2,11.3,1.4,9.2,2020,4,6,Monday,İlkbahar,Malatya
2020-04-07,16.3,8.6,12.3,0.1,8.8,2020,4,7,Tuesday,İlkbahar,Malatya
2020-04-08,15.8,7.8,11.4,3.2,10.1,2020,4,8,Wednesday,İlkbahar,Malatya
2020-04-09,14.7,7.3,10.1,4.2,8.7,2020,4,9,Thursday,İlkbahar,Malatya
2020-04-10,14.2,5.7,10.1,2.7,8.0,2020,4,10,Friday,İlkbahar,Malatya
2020-04-11,13.6,3.7,8.9,0.0,11.7,2020,4,11,Saturday,İlkbahar,Malatya
2020-04-12,14.1,3.4,8.9,0.0,10.5,2020,4,12,Sunday,İlkbahar,Malatya
2020-04-13,13.5,2.4,7.9,0.0,11.1,2020,4,13,Monday,İlkbahar,Malatya
2020-04-14,17.1,9.1,12.2,0.0,11.7,2020,4,14,Tuesday,İlkbahar,Malatya
2020-04-15,18.6,9.0,14.2,0.5,12.5,2020,4,15,Wednesday,İlkbahar,Malatya
2020-04-16,17.3,8.7,12.5,6.0,9.7,2020,4,16,Thursday,İlkbahar,Malatya
2020-04-17,17.9,9.4,13.2,0.0,7.6,2020,4,17,Friday,İlkbahar,Malatya
2020-04-18,20.3,12.8,16.2,0.2,10.8,2020,4,18,Saturday,İlkbahar,Malatya
2020-04-19,21.5,13.3,17.2,0.1,9.7,2020,4,19,Sunday,İlkbahar,Malatya
2020-04-20,21.9,13.0,17.6,0.2,13.5,2020,4,20,Monday,İlkbahar,Malatya
2020-04-21,20.8,11.7,15.1,0.1,8.2,2020,4,21,Tuesday,İlkbahar,Malatya
2020-04-22,22.0,11.7,15.9,0.1,10.1,2020,4,22,Wednesday,İlkbahar,Malatya
2020-04-23,16.4,6.6,11.4,0.0,18.8,2020,4,23,Thursday,İlkbahar,Malatya
2020-04-24,14.6,3.1,9.4,0.0,11.4,2020,4,24,Friday,İlkbahar,Malatya
2020-04-25,15.5,8.6,11.3,1.0,11.3,2020,4,25,Saturday,İlkbahar,Malatya
2020-04-26,20.1,6.1,13.2,0.0,13.5,2020,4,26,Sunday,İlkbahar,Malatya
2020-04-27,19.9,9.3,14.4,0.0,12.2,2020,4,27,Monday,İlkbahar,Malatya
2020-04-28,19.1,9.6,14.5,0.1,10.8,2020,4,28,Tuesday,İlkbahar,Malatya
2020-04-29,20.0,10.1,15.0,2.3,13.2,2020,4,29,Wednesday,İlkbahar,Malatya
2020-04-30,21.1,12.4,16.1,0.2,14.7,2020,4,30,Thursday,İlkbahar,Malatya
2020-05-01,16.4,9.2,12.6,3.9,7.9,2020,5,1,Friday,İlkbahar,Malatya
2020-05-02,17.2,8.7,12.6,5.2,8.9,2020,5,2,Saturday,İlkbahar,Malatya
2020-05-03,17.9,9.9,13.9,1.9,14.7,2020,5,3,Sunday,İlkbahar,Malatya
2020-05-04,19.5,9.8,14.6,0.8,10.4,2020,5,4,Monday,İlkbahar,Malatya
2020-05-05,20.4,10.5,14.9,0.9,10.8,2020,5,5,Tuesday,İlkbahar,Malatya
2020-05-06,17.0,10.4,12.8,14.8,20.5,2020,5,6,Wednesday,İlkbahar,Malatya
2020-05-07,20.1,7.1,14.1,0.0,12.1,2020,5,7,Thursday,İlkbahar,Malatya
2020-05-08,18.5,10.2,14.8,0.3,11.2,2020,5,8,Friday,İlkbahar,Malatya
2020-05-09,12.1,8.7,10.5,26.8,11.0,2020,5,9,Saturday,İlkbahar,Malatya
2020-05-10,17.6,5.8,11.6,0.0,17.4,2020,5,10,Sunday,İlkbahar,Malatya
2020-05-11,19.9,6.7,14.3,0.0,10.2,2020,5,11,Monday,İlkbahar,Malatya
2020-05-12,24.8,11.9,18.8,0.0,9.0,2020,5,12,Tuesday,İlkbahar,Malatya
2020-05-13,28.3,15.6,21.9,0.0,16.6,2020,5,13,Wednesday,İlkbahar,Malatya
2020-05-14,25.2,14.8,20.0,0.0,8.8,2020,5,14,Thursday,İlkbahar,Malatya
2020-05-15,28.3,15.4,22.7,0.0,11.8,2020,5,15,Friday,İlkbahar,Malatya
2020-05-16,31.2,16.3,25.1,0.0,16.0,2020,5,16,Saturday,İlkbahar,Malatya
2020-05-17,28.6,17.3,23.0,0.0,18.2,2020,5,17,Sunday,İlkbahar,Malatya
2020-05-18,31.3,16.1,24.0,0.0,22.6,2020,5,18,Monday,İlkbahar,Malatya
2020-05-19,28.9,17.8,23.3,0.0,24.0,2020,5,19,Tuesday,İlkbahar,Malatya
2020-05-20,29.7,15.8,23.4,0.0,15.4,2020,5,20,Wednesday,İlkbahar,Malatya
2020-05-21,31.9,20.3,26.1,0.0,16.1,2020,5,21,Thursday,İlkbahar,Malatya
2020-05-22,30.8,21.0,26.3,0.0,29.5,2020,5,22,Friday,İlkbahar,Malatya
2020-05-23,20.6,13.1,17.2,0.0,17.7,2020,5,23,Saturday,İlkbahar,Malatya
2020-05-24,13.5,9.5,11.0,19.3,15.2,2020,5,24,Sunday,İlkbahar,Malatya
2020-05-25,17.1,7.9,11.7,7.0,13.4,2020,5,25,Monday,İlkbahar,Malatya
2020-05-26,19.6,8.5,14.2,0.0,11.5,2020,5,26,Tuesday,İlkbahar,Malatya
2020-05-27,26.3,14.0,20.1,0.0,12.1,2020,5,27,Wednesday,İlkbahar,Malatya
2020-05-28,28.7,17.3,23.0,0.1,15.7,2020,5,28,Thursday,İlkbahar,Malatya
2020-05-29,23.1,14.3,19.0,0.2,17.8,2020,5,29,Friday,İlkbahar,Malatya
2020-05-30,22.4,10.8,16.8,0.0,16.0,2020,5,30,Saturday,İlkbahar,Malatya
2020-05-31,25.4,12.2,19.5,0.0,13.1,2020,5,31,Sunday,İlkbahar,Malatya
2020-06-01,26.1,14.9,20.8,0.0,14.4,2020,6,1,Monday,Yaz,Malatya
2020-06-02,26.5,16.0,20.7,0.3,15.4,2020,6,2,Tuesday,Yaz,Malatya
2020-06-03,24.9,14.2,19.4,0.2,10.9,2020,6,3,Wednesday,Yaz,Malatya
2020-06-04,24.4,12.7,19.4,0.0,11.6,2020,6,4,Thursday,Yaz,Malatya
2020-06-05,25.9,14.7,20.6,0.0,9.5,2020,6,5,Friday,Yaz,Malatya
2020-06-06,29.2,17.1,23.5,0.0,13.3,2020,6,6,Saturday,Yaz,Malatya
2020-06-07,31.6,18.5,25.4,0.0,15.5,2020,6,7,Sunday,Yaz,Malatya
2020-06-08,30.6,21.2,26.4,0.4,16.5,2020,6,8,Monday,Yaz,Malatya
2020-06-09,30.0,19.8,25.2,0.7,13.9,2020,6,9,Tuesday,Yaz,Malatya
2020-06-10,32.2,19.4,25.7,0.0,18.2,2020,6,10,Wednesday,Yaz,Malatya
2020-06-11,29.6,21.1,25.5,0.0,14.6,2020,6,11,Thursday,Yaz,Malatya
2020-06-12,28.3,17.9,22.5,0.2,17.3,2020,6,12,Friday,Yaz,Malatya
2020-06-13,25.3,15.5,20.2,0.5,13.0,2020,6,13,Saturday,Yaz,Malatya
2020-06-14,26.3,15.6,20.8,0.4,11.9,2020,6,14,Sunday,Yaz,Malatya
2020-06-15,27.9,15.4,21.8,0.0,12.4,2020,6,15,Monday,Yaz,Malatya
2020-06-16,29.9,18.2,24.1,0.0,13.3,2020,6,16,Tuesday,Yaz,Malatya
2020-06-17,31.5,19.9,25.7,0.0,14.8,2020,6,17,Wednesday,Yaz,Malatya
2020-06-18,30.8,18.5,25.1,0.1,17.4,2020,6,18,Thursday,Yaz,Malatya
2020-06-19,26.3,18.2,21.8,0.2,16.5,2020,6,19,Friday,Yaz,Malatya
2020-06-20,26.2,16.7,20.1,5.6,15.1,2020,6,20,Saturday,Yaz,Malatya
2020-06-21,25.5,16.2,21.4,0.9,19.2,2020,6,21,Sunday,Yaz,Malatya
2020-06-22,29.0,17.9,24.0,0.0,10.2,2020,6,22,Monday,Yaz,Malatya
2020-06-23,31.5,20.5,25.9,0.0,10.7,2020,6,23,Tuesday,Yaz,Malatya
2020-06-24,31.4,20.3,25.8,0.0,18.3,2020,6,24,Wednesday,Yaz,Malatya
2020-06-25,31.0,19.5,25.1,0.0,12.4,2020,6,25,Thursday,Yaz,Malatya
2020-06-26,31.8,18.6,25.8,0.0,12.5,2020,6,26,Friday,Yaz,Malatya
2020-06-27,31.6,19.8,25.7,0.0,15.3,2020,6,27,Saturday,Yaz,Malatya
2020-06-28,31.5,19.4,25.7,0.0,11.9,2020,6,28,Sunday,Yaz,Malatya
2020-06-29,31.5,19.3,25.9,0.0,10.9,2020,6,29,Monday,Yaz,Malatya
2020-06-30,31.6,19.9,25.6,0.0,22.0,2020,6,30,Tuesday,Yaz,Malatya
2020-07-01,30.5,18.3,24.8,0.0,14.0,2020,7,1,Wednesday,Yaz,Malatya
2020-07-02,30.9,18.8,25.6,0.0,9.3,2020,7,2,Thursday,Yaz,Malatya
2020-07-03,32.9,21.2,27.8,0.0,15.3,2020,7,3,Friday,Yaz,Malatya
2020-07-04,35.2,24.9,30.2,0.0,9.9,2020,7,4,Saturday,Yaz,Malatya
2020-07-05,34.4,21.6,28.6,0.0,10.4,2020,7,5,Sunday,Yaz,Malatya
2020-07-06,34.4,21.9,28.8,0.0,13.2,2020,7,6,Monday,Yaz,Malatya
2020-07-07,36.1,25.7,30.7,0.0,13.3,2020,7,7,Tuesday,Yaz,Malatya
2020-07-08,34.3,24.4,29.1,0.0,12.1,2020,7,8,Wednesday,Yaz,Malatya
2020-07-09,31.5,20.1,26.7,0.0,9.2,2020,7,9,Thursday,Yaz,Malatya
2020-07-10,32.8,20.4,27.1,0.0,11.2,2020,7,10,Friday,Yaz,Malatya
2020-07-11,33.1,21.9,27.7,0.0,9.4,2020,7,11,Saturday,Yaz,Malatya
2020-07-12,32.8,20.9,27.4,0.0,11.8,2020,7,12,Sunday,Yaz,Malatya
2020-07-13,31.9,20.8,26.4,0.0,17.7,2020,7,13,Monday,Yaz,Malatya
2020-07-14,31.2,19.4,25.5,0.0,10.9,2020,7,14,Tuesday,Yaz,Malatya
2020-07-15,33.4,20.8,27.2,0.0,10.0,2020,7,15,Wednesday,Yaz,Malatya
2020-07-16,34.3,21.2,28.6,0.0,11.6,2020,7,16,Thursday,Yaz,Malatya
2020-07-17,36.2,25.2,30.8,0.0,14.6,2020,7,17,Friday,Yaz,Malatya
2020-07-18,36.4,24.5,30.0,0.0,14.4,2020,7,18,Saturday,Yaz,Malatya
2020-07-19,38.1,26.5,31.8,0.0,12.5,2020,7,19,Sunday,Yaz,Malatya
2020-07-20,37.8,25.4,32.0,0.0,15.1,2020,7,20,Monday,Yaz,Malatya
2020-07-21,36.8,23.9,30.2,0.0,24.2,2020,7,21,Tuesday,Yaz,Malatya
2020-07-22,32.7,20.0,26.1,0.0,13.2,2020,7,22,Wednesday,Yaz,Malatya
2020-07-23,33.4,20.3,27.1,0.0,11.4,2020,7,23,Thursday,Yaz,Malatya
2020-07-24,35.0,22.8,29.0,0.0,13.2,2020,7,24,Friday,Yaz,Malatya
2020-07-25,36.9,23.7,30.2,0.0,12.1,2020,7,25,Saturday,Yaz,Malatya
2020-07-26,35.0,25.8,30.2,0.0,8.9,2020,7,26,Sunday,Yaz,Malatya
2020-07-27,37.3,25.3,31.6,0.0,14.2,2020,7,27,Monday,Yaz,Malatya
2020-07-28,36.8,27.9,32.4,0.0,15.5,2020,7,28,Tuesday,Yaz,Malatya
2020-07-29,35.5,23.8,29.5,0.0,16.2,2020,7,29,Wednesday,Yaz,Malatya
2020-07-30,33.7,21.5,28.0,0.0,11.4,2020,7,30,Thursday,Yaz,Malatya
2020-07-31,33.4,21.2,27.3,0.0,12.0,2020,7,31,Friday,Yaz,Malatya
2020-08-01,33.5,21.2,27.2,0.0,14.8,2020,8,1,Saturday,Yaz,Malatya
2020-08-02,33.4,21.1,27.1,0.0,17.4,2020,8,2,Sunday,Yaz,Malatya
2020-08-03,30.8,20.6,25.6,0.0,11.0,2020,8,3,Monday,Yaz,Malatya
2020-08-04,32.5,19.7,26.3,0.0,10.5,2020,8,4,Tuesday,Yaz,Malatya
2020-08-05,34.3,21.3,28.1,0.0,9.8,2020,8,5,Wednesday,Yaz,Malatya
2020-08-06,34.4,20.9,27.7,0.0,11.4,2020,8,6,Thursday,Yaz,Malatya
2020-08-07,34.1,20.5,27.5,0.0,11.3,2020,8,7,Friday,Yaz,Malatya
2020-08-08,34.3,21.2,28.2,0.0,13.0,2020,8,8,Saturday,Yaz,Malatya
2020-08-09,35.8,25.7,30.1,0.0,11.5,2020,8,9,Sunday,Yaz,Malatya
2020-08-10,33.8,23.1,28.3,0.0,15.5,2020,8,10,Monday,Yaz,Malatya
2020-08-11,32.6,22.1,26.8,0.0,19.9,2020,8,11,Tuesday,Yaz,Malatya
2020-08-12,30.9,19.7,25.3,0.0,11.2,2020,8,12,Wednesday,Yaz,Malatya
2020-08-13,31.8,20.2,25.6,0.0,16.7,2020,8,13,Thursday,Yaz,Malatya
2020-08-14,31.1,18.6,24.3,0.0,19.6,2020,8,14,Friday,Yaz,Malatya
2020-08-15,29.7,17.5,23.3,0.0,13.7,2020,8,15,Saturday,Yaz,Malatya
2020-08-16,30.5,16.5,23.6,0.0,9.7,2020,8,16,Sunday,Yaz,Malatya
2020-08-17,29.4,16.7,23.4,0.0,10.4,2020,8,17,Monday,Yaz,Malatya
2020-08-18,31.0,17.4,24.5,0.0,10.1,2020,8,18,Tuesday,Yaz,Malatya
2020-08-19,32.4,19.6,26.0,0.0,9.7,2020,8,19,Wednesday,Yaz,Malatya
2020-08-20,33.4,20.2,27.0,0.0,11.9,2020,8,20,Thursday,Yaz,Malatya
2020-08-21,33.0,21.9,27.3,0.0,18.4,2020,8,21,Friday,Yaz,Malatya
2020-08-22,28.1,17.9,22.3,0.0,25.0,2020,8,22,Saturday,Yaz,Malatya
2020-08-23,27.9,16.3,21.8,0.0,19.1,2020,8,23,Sunday,Yaz,Malatya
2020-08-24,27.4,15.2,21.9,0.0,9.4,2020,8,24,Monday,Yaz,Malatya
2020-08-25,30.8,21.5,25.6,0.0,12.6,2020,8,25,Tuesday,Yaz,Malatya
2020-08-26,32.5,21.6,27.3,0.0,10.9,2020,8,26,Wednesday,Yaz,Malatya
2020-08-27,32.8,20.2,26.7,0.0,9.7,2020,8,27,Thursday,Yaz,Malatya
2020-08-28,33.2,19.7,26.6,0.0,12.4,2020,8,28,Friday,Yaz,Malatya
2020-08-29,32.4,19.9,26.5,0.0,10.5,2020,8,29,Saturday,Yaz,Malatya
2020-08-30,34.8,24.7,29.3,0.0,10.6,2020,8,30,Sunday,Yaz,Malatya
2020-08-31,35.8,24.2,30.3,0.0,15.6,2020,8,31,Monday,Yaz,Malatya
2020-09-01,36.5,25.7,30.9,0.0,13.0,2020,9,1,Tuesday,Sonbahar,Malatya
2020-09-02,34.1,24.5,29.1,0.1,14.0,2020,9,2,Wednesday,Sonbahar,Malatya
2020-09-03,34.9,23.1,29.4,0.0,9.3,2020,9,3,Thursday,Sonbahar,Malatya
2020-09-04,36.6,23.4,30.9,0.0,7.2,2020,9,4,Friday,Sonbahar,Malatya
2020-09-05,37.2,26.9,31.3,0.0,20.8,2020,9,5,Saturday,Sonbahar,Malatya
2020-09-06,35.9,24.3,29.2,0.0,20.5,2020,9,6,Sunday,Sonbahar,Malatya
2020-09-07,32.8,20.9,26.9,0.0,13.0,2020,9,7,Monday,Sonbahar,Malatya
2020-09-08,32.0,20.0,26.1,0.0,10.6,2020,9,8,Tuesday,Sonbahar,Malatya
2020-09-09,30.0,18.6,24.2,0.0,10.4,2020,9,9,Wednesday,Sonbahar,Malatya
2020-09-10,30.7,18.0,24.4,0.0,11.6,2020,9,10,Thursday,Sonbahar,Malatya
2020-09-11,34.0,23.7,28.3,0.6,12.6,2020,9,11,Friday,Sonbahar,Malatya
2020-09-12,33.3,22.5,27.0,0.0,9.4,2020,9,12,Saturday,Sonbahar,Malatya
2020-09-13,35.3,23.4,28.3,0.0,13.4,2020,9,13,Sunday,Sonbahar,Malatya
2020-09-14,33.7,21.1,27.7,0.0,9.1,2020,9,14,Monday,Sonbahar,Malatya
2020-09-15,32.6,21.3,26.5,0.0,9.3,2020,9,15,Tuesday,Sonbahar,Malatya
2020-09-16,32.6,21.7,26.8,0.0,9.8,2020,9,16,Wednesday,Sonbahar,Malatya
2020-09-17,34.0,22.8,28.1,0.0,11.5,2020,9,17,Thursday,Sonbahar,Malatya
2020-09-18,32.6,20.4,26.4,0.0,12.8,2020,9,18,Friday,Sonbahar,Malatya
2020-09-19,31.1,19.6,25.7,0.0,12.3,2020,9,19,Saturday,Sonbahar,Malatya
2020-09-20,30.2,19.2,24.4,0.0,13.3,2020,9,20,Sunday,Sonbahar,Malatya
2020-09-21,31.6,21.2,26.0,0.0,13.5,2020,9,21,Monday,Sonbahar,Malatya
2020-09-22,28.7,18.5,23.9,0.0,10.4,2020,9,22,Tuesday,Sonbahar,Malatya
2020-09-23,29.7,17.9,24.0,0.0,10.0,2020,9,23,Wednesday,Sonbahar,Malatya
2020-09-24,29.4,18.5,24.2,0.0,12.6,2020,9,24,Thursday,Sonbahar,Malatya
2020-09-25,30.0,21.6,25.1,0.0,9.9,2020,9,25,Friday,Sonbahar,Malatya
2020-09-26,25.5,17.0,21.5,0.2,7.6,2020,9,26,Saturday,Sonbahar,Malatya
2020-09-27,30.0,17.9,24.0,0.0,9.5,2020,9,27,Sunday,Sonbahar,Malatya
2020-09-28,30.8,20.7,25.8,0.0,9.4,2020,9,28,Monday,Sonbahar,Malatya
2020-09-29,29.8,19.4,24.4,0.0,11.5,2020,9,29,Tuesday,Sonbahar,Malatya
2020-09-30,30.1,18.9,24.0,0.0,11.2,2020,9,30,Wednesday,Sonbahar,Malatya
2020-10-01,26.8,17.8,22.1,0.5,10.0,2020,10,1,Thursday,Sonbahar,Malatya
2020-10-02,25.5,16.5,20.5,0.0,13.0,2020,10,2,Friday,Sonbahar,Malatya
2020-10-03,25.5,15.0,19.9,0.0,9.0,2020,10,3,Saturday,Sonbahar,Malatya
