aday_id,yorunge_periyodu_gun,transit_suresi_saat,transit_derinligi_ppm,gezegen_yaricap_dunya,yildiz_sicakligi_K,yildiz_yaricap_gunes,denge_sicakligi_K,sinyal_gurultu_orani,yasanabilir_bolge,gercek_gezegen,durum
K00744.01,19.221388942,4.79843,74284.0,49.29,6117.0,0.947,698.0,2317.0,False,False,Yanlış Pozitif
K00745.01,16.46983774,9.4378,10478.9,7.94,5152.0,0.786,595.0,303.4,False,False,Yanlış Pozitif
K00746.01,9.27358173,3.2875,1288.3,2.47,4856.0,0.696,649.0,87.2,False,True,Gerçek Gezegen
K00747.01,6.02930329,1.5821,1912.7,2.85,4537.0,0.672,678.0,65.4,False,True,Gerçek Gezegen
K00748.01,2.696370652,3.6129,397.9,1.58,4989.0,0.819,1066.0,48.2,False,False,Yanlış Pozitif
K00749.01,5.349553819,3.0278,831.0,2.55,5185.0,0.91,919.0,60.6,False,True,Gerçek Gezegen
K00749.02,3.94105221,2.5984,363.3,1.7,5185.0,0.91,1018.0,28.9,False,True,Gerçek Gezegen
K00749.03,8.10904807,3.596,217.4,1.3,5185.0,0.91,800.0,14.1,False,True,Gerçek Gezegen
K00113.01,386.6030528,6.8057,24926.6,41.5,5543.0,1.58,297.0,994.0,False,False,Yanlış Pozitif
K00750.01,21.67699193,3.4555,857.2,2.95,4954.0,0.828,530.0,34.3,False,True,Gerçek Gezegen
K00751.01,4.99677968,2.1717,934.7,2.78,5339.0,0.847,917.0,28.2,False,True,Gerçek Gezegen
K00769.01,4.280963604,2.875,750.8,2.3,5644.0,0.831,1012.0,61.8,False,True,Gerçek Gezegen
K00770.01,1.50635409,1.5155,2211.7,4.53,5714.0,0.831,1452.0,181.1,False,False,Yanlış Pozitif
K00771.01,670.645531,53.412,18090.6,14.14,5520.0,0.983,196.0,642.7,False,False,Yanlış Pozitif
K00772.01,61.2563628,7.633,5123.3,39.87,6144.0,1.091,505.0,85.3,False,False,Yanlış Pozitif
K00773.01,38.3775486,5.588,724.2,2.82,5481.0,1.036,529.0,34.7,False,True,Gerçek Gezegen
K00757.02,41.19725502,4.6297,2213.9,3.86,5031.0,0.848,439.0,51.2,False,True,Gerçek Gezegen
K00757.03,6.252962249,2.5819,1036.9,2.65,5031.0,0.848,823.0,47.1,False,True,Gerçek Gezegen
K00758.01,16.01308419,3.2554,1121.9,3.1,5015.0,0.826,593.0,33.2,False,True,Gerçek Gezegen
K00759.01,32.62876672,4.7971,1804.8,3.36,5586.0,0.798,506.0,80.0,False,True,Gerçek Gezegen
K00759.02,91.7732862,6.473,652.0,2.12,5586.0,0.798,359.0,19.1,False,True,Gerçek Gezegen
K00760.01,4.959319244,2.22739,9802.0,12.21,5712.0,1.082,1103.0,696.5,False,True,Gerçek Gezegen
K00761.01,2.701287801,3.3827,860.4,6.54,5550.0,0.91,1222.0,48.3,False,False,Yanlış Pozitif
K00762.01,4.49876511,3.7362,460.0,2.1,6075.0,0.969,1133.0,29.5,False,True,Gerçek Gezegen
K00763.01,19.651209505,5.2514,11766.3,12.42,6074.0,1.063,730.0,513.4,False,False,Yanlış Pozitif
K00115.01,5.412203927,2.9472,601.6,2.94,5779.0,1.087,1093.0,166.7,False,True,Gerçek Gezegen
K00764.01,41.43958662,10.5989,2793.1,5.5,5468.0,1.046,516.0,141.1,False,True,Gerçek Gezegen
K00765.01,8.35389523,2.2514,1041.6,2.52,5592.0,0.787,790.0,43.4,False,True,Gerçek Gezegen
K00766.01,4.125543472,3.1744,1487.3,4.43,6174.0,1.103,1243.0,128.6,False,True,Gerçek Gezegen
K00767.01,2.816504904,2.50587,16813.7,12.21,5532.0,0.955,1219.0,1406.8,False,True,Gerçek Gezegen
K00768.01,33.93373447,14.561,8503.7,7.34,5040.0,0.705,430.0,236.1,False,False,Yanlış Pozitif
K00786.01,3.689920099,2.6557,426.7,1.89,5880.0,0.917,1147.0,35.6,False,True,Gerçek Gezegen
K00787.01,4.431238488,3.15,1010.9,3.25,5714.0,1.015,1104.0,71.1,False,True,Gerçek Gezegen
K00787.02,11.37936986,2.6255,1023.5,3.95,5714.0,1.015,806.0,37.9,False,True,Gerçek Gezegen
K00788.01,26.39432897,3.573,1510.9,3.07,5129.0,0.763,489.0,48.2,False,True,Gerçek Gezegen
K00116.01,13.57078281,3.3539,511.7,2.64,5854.0,1.012,785.0,88.4,False,True,Gerçek Gezegen
K00115.02,7.12594387,3.0014,192.4,1.79,5779.0,1.087,997.0,47.1,False,True,Gerçek Gezegen
K00774.01,7.442652004,2.3078,24446.2,15.03,6108.0,0.956,967.0,835.6,False,False,Yanlış Pozitif
K00775.01,16.38489988,3.0249,1127.1,2.0,4126.0,0.615,433.0,28.9,False,True,Gerçek Gezegen
K00775.02,7.8774163,2.0805,1306.1,2.16,4126.0,0.615,553.0,38.7,False,True,Gerçek Gezegen
K00775.03,36.4454001,4.007,1122.3,1.99,4126.0,0.615,332.0,21.7,False,True,Gerçek Gezegen
K00776.01,3.728732147,2.683,5226.5,6.02,5497.0,0.809,1023.0,345.2,False,True,Gerçek Gezegen
K00778.01,2.243380573,1.1196,821.7,1.99,4149.0,0.564,822.0,38.9,False,True,Gerçek Gezegen
K00779.01,10.405998015,6.5036,14488.8,11.23,5746.0,0.924,833.0,745.2,False,False,Yanlış Pozitif
K00780.01,2.337437946,1.9982,971.2,2.34,5005.0,0.765,1070.0,82.4,False,True,Gerçek Gezegen
K00781.01,11.59822233,2.5237,2804.5,2.65,3688.0,0.473,396.0,71.0,False,True,Gerçek Gezegen
K00782.01,6.575315881,4.3084,2793.3,5.31,5992.0,0.989,1015.0,221.1,False,True,Gerçek Gezegen
K00783.01,7.275040844,7.5377,3001.0,4.86,5485.0,0.867,833.0,312.1,False,True,Gerçek Gezegen
K00784.01,19.27153892,2.7594,1219.8,1.93,4077.0,0.56,393.0,37.1,False,True,Gerçek Gezegen
K00784.02,10.06524317,1.369,1053.3,1.91,4077.0,0.56,488.0,30.3,False,True,Gerçek Gezegen
K00785.01,12.3935651,3.8896,916.6,2.66,5557.0,0.75,677.0,35.8,False,True,Gerçek Gezegen
K00116.02,43.84439721,6.802,615.2,2.87,5854.0,1.012,531.0,83.7,False,True,Gerçek Gezegen
K00798.01,3.341913228,3.813,725.3,21.55,5295.0,0.811,1032.0,39.0,False,False,Yanlış Pozitif
K00799.01,1.626630225,2.1145,1620.6,32.43,5735.0,0.973,1547.0,103.6,False,False,Yanlış Pozitif
K00800.01,2.711504086,3.0099,837.5,3.12,6214.0,1.076,1420.0,64.5,False,True,Gerçek Gezegen
K00800.02,7.21203748,4.0491,950.4,3.32,6214.0,1.076,1025.0,51.5,False,True,Gerçek Gezegen
K00789.01,14.1798187,2.505,459.9,1.88,5799.0,0.878,711.0,11.2,False,False,Yanlış Pozitif
K00790.01,8.47237911,2.7245,1123.5,2.59,5354.0,0.788,751.0,47.6,False,True,Gerçek Gezegen
K00790.02,60.4189369,5.039,931.3,2.36,5354.0,0.788,390.0,20.1,False,True,Gerçek Gezegen
K00791.01,12.611904345,5.1497,6105.6,7.4,5795.0,0.919,753.0,277.2,False,True,Gerçek Gezegen
K00792.01,1.433769925,1.8868,1976.3,46.58,6017.0,1.339,1920.0,112.6,False,False,Yanlış Pozitif
K00793.01,10.31872301,3.836,871.7,28.59,5927.0,1.06,876.0,38.2,False,False,Yanlış Pozitif
K00794.01,2.539183147,2.4282,382.1,2.06,5519.0,1.062,1332.0,38.9,False,True,Gerçek Gezegen
K00795.01,6.770300385,2.0844,1304.0,2.77,5653.0,0.679,812.0,50.8,False,True,Gerçek Gezegen
K00796.01,0.444291966,2.0792,10967.4,27.51,5255.0,0.636,1836.0,299.7,False,False,Yanlış Pozitif
K00812.02,20.06036336,3.3203,1494.7,1.96,3950.0,0.493,361.0,35.2,False,True,Gerçek Gezegen
K00812.03,46.1842039,4.758,1394.7,1.83,3950.0,0.493,273.0,26.0,True,True,Gerçek Gezegen
K00116.04,23.9800854,5.351,104.0,1.31,5854.0,1.012,649.0,17.1,False,True,Gerçek Gezegen
K00812.04,7.82502168,2.186,520.8,1.2,3950.0,0.493,494.0,15.9,False,True,Gerçek Gezegen
K00813.01,3.895936525,2.3111,8544.8,7.34,5557.0,0.774,1005.0,370.8,False,True,Gerçek Gezegen
K00814.01,22.36646466,5.228,986.8,2.32,5395.0,0.734,536.0,32.1,False,True,Gerçek Gezegen
K00801.01,1.625522174,2.38963,7969.0,9.73,5539.0,1.106,1579.0,799.7,False,True,Gerçek Gezegen
K00803.01,7.544039,6.222,322.6,17.47,5657.0,0.824,838.0,14.2,False,False,Yanlış Pozitif
K00804.01,9.02930689,3.1449,1019.8,2.57,5349.0,0.82,757.0,53.9,False,True,Gerçek Gezegen
K00805.01,10.328035714,7.7915,16917.7,13.28,5627.0,1.024,843.0,636.8,False,False,Yanlış Pozitif
K00806.01,143.2063047,8.9302,10565.7,8.9,5485.0,0.867,308.0,138.8,False,True,Gerçek Gezegen
K00116.03,6.164876,3.262,55.8,0.79,5854.0,1.012,1021.0,14.4,False,True,Gerçek Gezegen
K00806.02,60.32494216,6.6188,20280.4,12.19,5485.0,0.867,411.0,347.2,False,True,Gerçek Gezegen
K00806.03,29.1598615,4.803,488.0,1.91,5485.0,0.867,524.0,11.6,False,True,Gerçek Gezegen
K00807.01,1.540397253,2.1541,816.1,25.69,5663.0,0.915,1470.0,38.8,False,False,Yanlış Pozitif
K00808.01,2.99025443,5.414,589.2,1.7,4667.0,0.731,918.0,48.5,False,False,Yanlış Pozitif
K00809.01,1.594745374,1.9604,15044.5,11.3,5934.0,0.893,1539.0,1009.3,False,True,Gerçek Gezegen
K00810.01,4.783002698,2.335,1008.7,2.5,5170.0,0.807,886.0,70.6,False,True,Gerçek Gezegen
K00811.01,20.50588921,4.0595,2105.5,3.41,4905.0,0.761,518.0,78.5,False,True,Gerçek Gezegen
K00812.01,3.340218842,1.9104,1632.6,2.03,3950.0,0.493,656.0,71.6,False,True,Gerçek Gezegen
K00828.01,2.507089906,2.0067,1339.2,30.26,5926.0,0.939,1326.0,64.9,False,False,Yanlış Pozitif
K00829.01,18.64932728,4.4056,893.6,3.12,5775.0,1.053,701.0,46.1,False,True,Gerçek Gezegen
K00117.02,4.90144976,4.1654,140.7,1.7,5847.0,1.402,1262.0,50.6,False,True,Gerçek Gezegen
K00829.02,9.75192101,4.793,418.0,2.76,5775.0,1.053,870.0,28.5,False,True,Gerçek Gezegen
K00829.03,38.5576546,5.794,993.0,4.02,5775.0,1.053,550.0,39.7,False,True,Gerçek Gezegen
K00830.01,3.525632539,2.59959,22335.0,11.58,5150.0,0.793,975.0,1996.7,False,True,Gerçek Gezegen
K00816.01,7.748094239,3.5957,2472.1,5.52,5973.0,1.085,964.0,113.2,False,True,Gerçek Gezegen
K00817.01,23.96793669,3.827,1182.3,1.8,3747.0,0.524,329.0,27.5,False,True,Gerçek Gezegen
K00817.02,8.29561738,1.3421,824.3,1.82,3747.0,0.524,469.0,17.9,False,True,Gerçek Gezegen
K00818.01,8.11437482,2.2736,1558.0,2.1,3692.0,0.517,460.0,56.4,False,True,Gerçek Gezegen
K00819.01,38.036729482,4.34617,82871.6,27.5,5575.0,0.932,500.0,1300.0,False,False,Yanlış Pozitif
K00011.01,3.747838198,5.0642,616.0,13.65,5514.0,0.826,1031.0,138.2,False,False,Yanlış Pozitif
K00117.01,14.74914825,6.0995,430.2,2.89,5847.0,1.402,874.0,107.4,False,True,Gerçek Gezegen
K00821.01,21.81295996,4.3791,1175.4,3.38,5601.0,0.999,639.0,37.8,False,True,Gerçek Gezegen
K00822.01,7.91936937,3.3148,15148.1,10.34,5690.0,0.776,814.0,389.0,False,False,Yanlış Pozitif
K00824.01,15.37562369,3.3169,15337.0,11.01,4986.0,0.833,600.0,166.0,False,True,Gerçek Gezegen
K00825.01,8.10363271,3.161,887.9,2.11,4861.0,0.732,687.0,39.3,False,True,Gerçek Gezegen
K00825.02,4.71510843,2.506,417.5,1.46,4861.0,0.732,823.0,21.3,False,True,Gerçek Gezegen
K00826.01,6.365839713,2.9721,780.7,2.44,5776.0,0.849,914.0,70.8,False,True,Gerçek Gezegen
K00827.01,5.97581754,3.065,962.4,3.86,6108.0,0.997,1047.0,50.3,False,False,Yanlış Pozitif
K00839.01,2.446737317,4.7211,1177.9,26.25,5764.0,0.863,1261.0,110.2,False,False,Yanlış Pozitif
K00840.01,3.04033046,1.8411,10858.8,8.99,5035.0,0.791,1021.0,568.2,False,True,Gerçek Gezegen
K00841.01,15.33528675,3.897,3081.4,5.0,5251.0,0.817,610.0,86.6,False,True,Gerçek Gezegen
K00117.04,7.95825328,4.377,50.0,1.06,5847.0,1.402,1074.0,14.7,False,True,Gerçek Gezegen
K00841.02,31.33046135,5.176,5073.8,6.5,5251.0,0.817,481.0,117.2,False,True,Gerçek Gezegen
K00831.01,3.9043425,3.831,16228.4,12.28,5810.0,0.898,1104.0,323.4,False,False,Yanlış Pozitif
K00832.01,9.286358079,3.49949,44791.4,17.61,5670.0,0.821,796.0,1671.1,False,False,Yanlış Pozitif
K00833.01,3.951405455,2.1862,2453.9,31.44,6046.0,0.869,1133.0,117.2,False,False,Yanlış Pozitif
K00834.01,23.65369415,8.2183,3341.8,7.89,5739.0,1.384,731.0,266.3,False,True,Gerçek Gezegen
K00834.02,13.23352214,6.7372,504.6,3.06,5739.0,1.384,888.0,49.1,False,True,Gerçek Gezegen
K00834.03,6.15560285,4.9843,285.0,2.32,5739.0,1.384,1146.0,35.1,False,True,Gerçek Gezegen
K00834.04,2.090811305,3.388,115.9,1.62,5739.0,1.384,1642.0,19.9,False,True,Gerçek Gezegen
K00117.03,3.180027898,3.5797,120.3,1.53,5847.0,1.402,1458.0,50.4,False,True,Gerçek Gezegen
K00834.05,50.4467417,7.159,370.3,2.67,5739.0,1.384,568.0,19.4,False,True,Gerçek Gezegen
K00835.01,11.76307164,2.9076,1037.3,2.35,4959.0,0.756,616.0,48.9,False,True,Gerçek Gezegen
K00835.02,56.2279271,3.57,862.7,2.37,4959.0,0.756,366.0,20.9,False,True,Gerçek Gezegen
K00836.01,2.384052875,3.0918,1268.1,17.06,4794.0,0.701,1010.0,50.5,False,False,Yanlış Pozitif
K00837.01,7.953547,2.6312,875.4,2.25,4768.0,0.779,696.0,38.4,False,True,Gerçek Gezegen
K00837.02,4.14451656,2.3421,391.8,1.48,4768.0,0.779,864.0,22.8,False,True,Gerçek Gezegen
K00838.01,4.859386384,2.2757,6044.3,38.33,6072.0,0.988,1114.0,269.7,False,False,Yanlış Pozitif
K00850.01,10.526294577,2.5211,9768.0,8.24,5386.0,0.793,713.0,482.3,False,True,Gerçek Gezegen
K00851.01,4.583520948,2.7055,3812.1,5.39,5815.0,0.877,1038.0,99.5,False,True,Gerçek Gezegen
K00852.01,3.76181843,3.5176,510.6,2.66,5653.0,0.949,1121.0,35.9,False,True,Gerçek Gezegen
K00853.01,8.20396958,2.9667,1024.4,3.01,5015.0,0.826,742.0,54.4,False,True,Gerçek Gezegen
K00853.02,14.49645186,4.016,647.5,3.01,5015.0,0.826,613.0,25.7,False,True,Gerçek Gezegen
K00841.03,6.54626149,2.75,655.9,2.19,5251.0,0.817,810.0,24.8,False,True,Gerçek Gezegen
K00842.01,12.71809866,3.0957,1149.4,2.31,4702.0,0.686,562.0,52.7,False,True,Gerçek Gezegen
K00842.02,36.06588163,4.3246,1563.8,2.64,4702.0,0.686,397.0,51.7,False,True,Gerçek Gezegen
K00843.01,4.190425659,2.8589,2877.4,6.21,6073.0,1.135,1234.0,240.6,False,True,Gerçek Gezegen
K00844.01,3.709870784,3.0694,2020.3,4.35,5727.0,0.978,1151.0,116.1,False,True,Gerçek Gezegen
K00845.01,16.3297527,6.271,1187.5,3.75,5878.0,0.987,727.0,74.6,False,True,Gerçek Gezegen
K00846.01,27.807566216,4.21587,25391.1,13.84,5862.0,0.785,554.0,748.1,False,True,Gerçek Gezegen
K00847.01,80.8723469,11.195,3604.6,7.59,5510.0,1.238,452.0,160.9,False,True,Gerçek Gezegen
K00848.01,3.166465862,2.9381,4357.2,26.82,4968.0,0.704,954.0,122.1,False,False,Yanlış Pozitif
K00118.01,24.99324319,5.9409,269.6,2.29,5718.0,1.317,712.0,62.0,False,True,Gerçek Gezegen
K00849.01,10.35533116,3.1775,750.6,2.47,5501.0,0.918,777.0,49.2,False,True,Gerçek Gezegen
K00867.01,16.08518937,3.984,1442.4,3.68,5239.0,0.826,613.0,62.6,False,True,Gerçek Gezegen
K00869.01,7.49018305,2.7297,1123.6,2.56,5103.0,0.787,753.0,53.0,False,True,Gerçek Gezegen
K00869.02,36.2761238,4.7865,1572.6,3.03,5103.0,0.787,445.0,45.5,False,True,Gerçek Gezegen
K00869.03,17.46087931,2.2641,812.4,2.32,5103.0,0.787,568.0,22.6,False,True,Gerçek Gezegen
K00854.01,56.0560754,4.685,1626.0,1.94,3593.0,0.491,233.0,27.4,True,True,Gerçek Gezegen
K00855.01,41.408316686,5.0264,22838.9,11.38,5522.0,0.747,453.0,907.8,False,True,Gerçek Gezegen
K00857.01,5.715425977,2.5242,908.1,2.47,5237.0,0.826,850.0,59.4,False,True,Gerçek Gezegen
K00119.01,49.18394185,11.3364,1646.2,8.2,5626.0,2.057,669.0,355.7,False,True,Gerçek Gezegen
K00857.02,20.0261412,1.611,421.2,2.28,5237.0,0.826,559.0,10.7,False,True,Gerçek Gezegen
K00859.01,10.44331991,2.743,1159.8,2.66,4947.0,0.802,667.0,51.7,False,False,Yanlış Pozitif
K00861.01,2.237489571,1.8119,315.8,1.41,5265.0,0.81,1160.0,30.7,False,True,Gerçek Gezegen
K00862.01,5.851520671,3.11058,33003.6,14.62,5532.0,0.806,901.0,1630.4,False,False,Yanlış Pozitif
K00863.01,3.167893418,2.1814,781.2,2.62,5895.0,0.94,1221.0,64.8,False,True,Gerçek Gezegen
K00864.01,4.311780262,2.7251,1154.0,3.11,5527.0,0.927,1038.0,86.1,False,True,Gerçek Gezegen
K00864.02,20.0504494,4.556,840.9,2.69,5527.0,0.927,622.0,37.8,False,True,Gerçek Gezegen
K00864.03,9.76734503,1.6585,569.1,2.67,5527.0,0.927,791.0,21.1,False,True,Gerçek Gezegen
K00119.02,190.3200468,15.284,1141.7,7.78,5626.0,2.057,426.0,139.3,False,True,Gerçek Gezegen
K00866.01,2.861159894,1.8832,1014.3,4.37,6126.0,1.021,1355.0,58.3,False,False,Yanlış Pozitif
K00880.01,26.44439337,3.9783,1843.5,3.91,5427.0,0.929,562.0,88.0,False,True,Gerçek Gezegen
K00880.02,51.53997972,6.3994,3644.3,5.51,5427.0,0.929,450.0,155.5,False,True,Gerçek Gezegen
K00880.03,5.902245782,2.9003,702.3,2.43,5427.0,0.929,926.0,59.3,False,True,Gerçek Gezegen
K00880.04,2.382951591,1.8876,391.6,1.86,5427.0,0.929,1253.0,41.4,False,True,Gerçek Gezegen
K00881.01,21.02250608,4.1072,1772.5,3.07,5067.0,0.75,521.0,62.4,False,True,Gerçek Gezegen
K00869.04,3.219814777,2.0642,488.2,1.69,5103.0,0.787,998.0,30.5,False,True,Gerçek Gezegen
K00870.01,5.912273234,2.3254,961.4,1.73,4072.0,0.57,585.0,62.8,False,True,Gerçek Gezegen
K00870.02,8.98581901,2.8606,881.3,1.65,4072.0,0.57,509.0,51.8,False,True,Gerçek Gezegen
K00120.01,20.5452375,2.517,218.5,2.41,5670.0,1.264,742.0,18.5,False,False,Yanlış Pozitif
K00872.01,33.60123371,4.4056,7425.9,8.46,5149.0,0.93,495.0,247.9,False,True,Gerçek Gezegen
K00872.02,6.76652928,2.9004,450.7,1.97,5149.0,0.93,845.0,29.2,False,True,Gerçek Gezegen
K00873.01,4.347288783,2.1024,451.6,2.36,5754.0,1.122,1174.0,39.7,False,True,Gerçek Gezegen
K00874.01,4.601811819,2.2607,755.9,2.35,4986.0,0.833,896.0,60.8,False,True,Gerçek Gezegen
K00874.02,11.18719905,3.252,353.6,1.55,4986.0,0.833,667.0,21.9,False,True,Gerçek Gezegen
K00875.01,4.220965778,3.0854,2260.0,2.62,3837.0,0.517,595.0,157.8,False,True,Gerçek Gezegen
K00876.01,6.998099523,2.0488,20285.0,588.66,5612.0,0.829,853.0,192.3,False,False,Yanlış Pozitif
K00877.01,5.95489993,2.3892,1410.7,2.33,4261.0,0.633,635.0,87.2,False,True,Gerçek Gezegen
K00877.02,12.03987488,2.7363,1250.6,2.18,4261.0,0.633,502.0,57.6,False,True,Gerçek Gezegen
K00877.03,20.83762895,2.3734,439.0,1.42,4261.0,0.633,418.0,14.9,False,True,Gerçek Gezegen
K00121.01,8.8111022,5.0683,401.1,63.66,6200.0,2.404,1399.0,76.8,False,False,Yanlış Pozitif
K00878.01,23.58917143,5.073,1200.7,3.16,4919.0,0.721,487.0,53.3,False,True,Gerçek Gezegen
K00123.01,6.481633073,3.784,298.5,2.54,5945.0,1.302,1145.0,125.6,False,True,Gerçek Gezegen
K00892.01,10.37168928,3.035,1254.9,3.2,5121.0,0.888,720.0,64.5,False,True,Gerçek Gezegen
K00892.02,3.96996298,1.1757,299.2,1.78,5121.0,0.888,992.0,15.0,False,True,Gerçek Gezegen
K00893.01,4.40841331,5.012,549.4,2.66,6007.0,0.961,1139.0,45.1,False,True,Gerçek Gezegen
K00894.01,7.9426176,6.703,1590.7,4.68,5811.0,0.926,878.0,60.4,False,False,Yanlış Pozitif
K00881.02,226.8904775,7.558,3136.4,4.53,5067.0,0.75,236.0,46.8,False,True,Gerçek Gezegen
K00882.01,1.956811408,2.1958,24905.0,21.58,5209.0,0.603,1109.0,125.4,False,False,Yanlış Pozitif
K00884.01,9.439459486,2.8979,3036.1,4.16,5097.0,0.779,686.0,175.2,False,True,Gerçek Gezegen
K00122.01,11.523067458,3.8757,507.3,3.13,5644.0,1.411,927.0,142.0,False,True,Gerçek Gezegen
K00884.02,20.47748843,2.8364,1382.4,2.92,5097.0,0.779,530.0,52.7,False,True,Gerçek Gezegen
K00884.03,3.336123113,1.9616,516.3,1.74,5097.0,0.779,970.0,41.6,False,True,Gerçek Gezegen
K00886.01,8.01078456,2.312,1333.6,1.72,3713.0,0.47,453.0,48.5,False,True,Gerçek Gezegen
K00886.02,12.07134205,4.3224,759.2,1.29,3713.0,0.47,395.0,31.0,False,True,Gerçek Gezegen
K00886.03,20.99587872,2.6333,767.3,1.3,3713.0,0.47,328.0,18.2,False,True,Gerçek Gezegen
K00887.01,7.41113177,2.5242,620.5,2.45,5849.0,0.919,905.0,50.4,False,True,Gerçek Gezegen
K00888.01,1.000747038,0.9967,1823.5,4.14,5472.0,0.79,1620.0,147.4,False,False,Yanlış Pozitif
K00889.01,8.884922995,2.07004,16053.4,10.51,5332.0,0.843,770.0,388.2,False,True,Gerçek Gezegen
K00890.01,8.09888906,4.20241,6911.1,8.95,6214.0,1.076,986.0,435.9,False,True,Gerçek Gezegen
K00891.01,10.00653012,5.344,936.1,3.52,6063.0,1.001,876.0,71.9,False,True,Gerçek Gezegen
K00012.01,17.855221681,7.41287,9065.2,13.16,6823.0,1.367,911.0,915.7,False,True,Gerçek Gezegen
K00903.01,5.007316661,4.2362,6932.3,6.96,5865.0,0.827,998.0,431.4,False,True,Gerçek Gezegen
K00904.01,2.211116989,1.6485,724.2,1.85,4500.0,0.646,931.0,42.6,False,True,Gerçek Gezegen
K00904.02,27.9541337,3.95,942.5,1.9,4500.0,0.646,400.0,25.4,False,True,Gerçek Gezegen
K00124.01,12.69104387,3.7727,252.1,2.57,5869.0,1.626,1008.0,60.2,False,True,Gerçek Gezegen
K00895.01,4.409409243,3.8636,12861.0,10.95,5600.0,0.975,1101.0,85.8,False,False,Yanlış Pozitif
K00896.01,16.23947096,4.0374,2590.7,4.14,5191.0,0.837,598.0,123.8,False,True,Gerçek Gezegen
K00896.02,6.308201629,2.9785,1328.5,2.96,5191.0,0.837,819.0,86.2,False,True,Gerçek Gezegen
K00897.01,2.052349884,2.0778,14280.6,13.12,5855.0,1.08,1497.0,1072.1,False,True,Gerçek Gezegen
K00898.01,9.7704486,2.4517,1897.8,2.23,3906.0,0.509,460.0,58.0,False,True,Gerçek Gezegen
K00898.02,5.169804269,2.153,1037.4,1.66,3906.0,0.509,569.0,41.4,False,True,Gerçek Gezegen
K00123.02,21.22261195,6.5093,366.0,2.48,5945.0,1.302,771.0,114.9,False,True,Gerçek Gezegen
K00898.03,20.09017037,4.154,1432.1,2.25,3906.0,0.509,362.0,36.9,False,True,Gerçek Gezegen
K00899.01,7.11373257,2.1764,807.6,1.16,3561.0,0.411,429.0,44.4,False,True,Gerçek Gezegen
K00899.02,3.306551643,1.8177,509.2,0.91,3561.0,0.411,554.0,37.8,False,True,Gerçek Gezegen
K00899.03,15.36845737,2.4714,756.1,1.11,3561.0,0.411,332.0,30.9,False,True,Gerçek Gezegen
K00900.01,13.81020318,3.048,1309.7,4.56,5942.0,1.142,833.0,46.2,False,True,Gerçek Gezegen
K00911.01,4.093578461,2.5833,538.6,2.85,6077.0,0.999,1182.0,36.4,False,True,Gerçek Gezegen
K00911.02,105.145959,8.593,685.4,3.43,6077.0,0.999,401.0,15.4,False,True,Gerçek Gezegen
K00912.01,10.8484518,2.9993,1675.6,2.34,4201.0,0.591,499.0,64.5,False,True,Gerçek Gezegen
K00912.02,6.66833241,1.915,362.3,1.18,4201.0,0.591,587.0,14.2,False,True,Gerçek Gezegen
K00913.01,4.082274889,3.23015,17859.2,10.55,5655.0,0.794,1016.0,1669.1,False,True,Gerçek Gezegen
K00904.03,42.1406089,5.083,895.5,1.85,4500.0,0.646,349.0,21.6,False,True,Gerçek Gezegen
K00904.04,4.617490562,2.2618,575.8,1.62,4500.0,0.646,728.0,28.1,False,True,Gerçek Gezegen
